Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR3192396_1 - Adapter 1	(1, 0.8577149210931861)	(2, 1.1303900312053525)	(3, 0.8817905772043911)	(4, 0.8364950932328391)	(5, 0.8638348334390569)	(6, 0.5373686979907626)	(7, 0.5632902511654012)	(8, 1.8465855940130964)	(9, 8.767772511848342)	(10, 42.33532934131736)	(11, 135.97609561752986)	(12, 402.22222222222223)	(13, 1530.0)	(14, 1643.125)	(15, 1314.375)	(16, 1238.75)	(17, 1058.75)	(18, 1011.25)	(19, 559.375)	(20, 685.625)	(21, 545.625)	(22, 540.0)	(23, 648.75)	(24, 573.75)	(25, 466.875)	(26, 392.5)	(27, 493.125)	(28, 495.625)	(29, 550.625)	(30, 548.75)	(31, 530.0)	(32, 483.75)	(33, 626.875)	(34, 480.625)	(35, 620.625)	(36, 430.0)	(37, 556.875)	(38, 293.75)	(39, 357.5)	(40, 260.0)	(41, 315.625)	(42, 138.75)	(43, 122.5)	(44, 86.25)	(45, 135.0)	(46, 120.625)	(47, 81.25)	(48, 95.625)	(49, 78.75)	(50, 54.375)	(51, 50.625)	(52, 73.75)	(53, 49.375)	(54, 29.375)	(55, 37.5)	(56, 44.375)	(57, 34.375)	(58, 39.375)	(59, 26.25)	(60, 31.25)	(61, 30.625)	(62, 46.25)	(63, 46.25)	(64, 36.25)	(65, 46.25)	(66, 40.625)	(67, 51.875)	(68, 30.625)	(69, 57.5)	(70, 65.625)	(71, 39.375)	(72, 31.25)	(73, 23.125)	(74, 23.125)	(75, 16.875)	(76, 20.0)	(77, 12.5)	(78, 32.5)	(79, 18.125)	(80, 23.75)	(81, 36.875)	(82, 36.875)	(83, 25.0)	(84, 21.875)	(85, 20.625)	(86, 35.0)	(87, 41.25)	(88, 24.375)	(89, 31.875)	(90, 33.75)	(91, 18.75)	(92, 25.0)	(93, 8.75)	(94, 83.125)	(95, 28.125)	(96, 19.375)	(97, 35.0)	(98, 18.75)	(99, 5.625)	(100, 13.125)	(101, 42.5)
SRR3192396_2 - Adapter 1	(1, 0.8739889132227256)	(2, 1.1619527185748377)	(3, 1.0809412564295884)	(4, 0.8574839009072982)	(5, 0.8305489539210785)	(6, 0.5826203885954826)	(7, 0.9012955831683322)	(8, 1.8378546928593702)	(9, 10.80568720379147)	(10, 45.99800399201597)	(11, 185.29880478087648)	(12, 498.73015873015873)	(13, 1696.875)	(14, 2430.625)	(15, 969.375)	(16, 1172.5)	(17, 1435.0)	(18, 375.625)	(19, 826.25)	(20, 508.75)	(21, 270.625)	(22, 478.75)	(23, 606.875)	(24, 878.125)	(25, 452.5)	(26, 545.625)	(27, 416.25)	(28, 707.5)	(29, 508.125)	(30, 1580.625)	(31, 138.125)	(32, 469.375)	(33, 203.125)	(34, 280.625)	(35, 481.25)	(36, 440.0)	(37, 538.75)	(38, 292.5)	(39, 344.375)	(40, 225.625)	(41, 273.75)	(42, 523.75)	(43, 122.5)	(44, 222.5)	(45, 362.5)	(46, 109.375)	(47, 126.875)	(48, 114.375)	(49, 127.5)	(50, 160.0)	(51, 123.125)	(52, 65.0)	(53, 38.75)	(54, 53.75)	(55, 93.75)	(56, 48.75)	(57, 70.625)	(58, 62.5)	(59, 50.625)	(60, 62.5)	(61, 78.75)	(62, 61.25)	(63, 161.875)	(64, 100.625)	(65, 116.875)	(66, 62.5)	(67, 42.5)	(68, 43.125)	(69, 21.875)	(70, 30.0)	(71, 25.625)	(72, 22.5)	(73, 24.375)	(74, 28.125)	(75, 30.625)	(76, 43.125)	(77, 10.625)	(78, 36.875)	(79, 20.625)	(80, 31.875)	(81, 8.75)	(82, 25.625)	(83, 32.5)	(84, 41.875)	(85, 13.125)	(86, 29.375)	(87, 19.375)	(88, 19.375)	(89, 15.0)	(90, 7.5)	(91, 25.0)	(92, 25.625)	(93, 18.125)	(94, 30.0)	(95, 13.125)	(96, 4.375)	(97, 17.5)	(98, 32.5)	(99, 20.0)	(100, 15.0)	(101, 20.625)
SRR3192397_1 - Adapter 1	(1, 0.9072000199968362)	(2, 1.1381017657327401)	(3, 0.9458607447984353)	(4, 0.9376370025285962)	(5, 0.9691918677513207)	(6, 0.7017186482860015)	(7, 1.2349877776596876)	(8, 4.839875301119456)	(9, 18.32766439909297)	(10, 82.98185941043084)	(11, 275.1131221719457)	(12, 1049.8181818181818)	(13, 4118.571428571428)	(14, 4164.285714285715)	(15, 3140.714285714286)	(16, 3349.2857142857147)	(17, 2979.2857142857147)	(18, 2600.714285714286)	(19, 1039.2857142857144)	(20, 1130.7142857142858)	(21, 780.7142857142858)	(22, 684.2857142857143)	(23, 546.4285714285714)	(24, 415.0)	(25, 392.14285714285717)	(26, 317.14285714285717)	(27, 451.42857142857144)	(28, 444.28571428571433)	(29, 515.7142857142858)	(30, 517.1428571428572)	(31, 312.8571428571429)	(32, 413.5714285714286)	(33, 669.2857142857143)	(34, 614.2857142857143)	(35, 1174.2857142857144)	(36, 484.28571428571433)	(37, 844.2857142857143)	(38, 337.14285714285717)	(39, 347.14285714285717)	(40, 233.57142857142858)	(41, 274.2857142857143)	(42, 172.14285714285717)	(43, 194.2857142857143)	(44, 148.57142857142858)	(45, 234.2857142857143)	(46, 199.2857142857143)	(47, 115.00000000000001)	(48, 122.85714285714286)	(49, 114.28571428571429)	(50, 75.0)	(51, 101.42857142857143)	(52, 120.00000000000001)	(53, 115.00000000000001)	(54, 67.14285714285715)	(55, 46.42857142857143)	(56, 65.71428571428572)	(57, 66.42857142857143)	(58, 65.0)	(59, 120.00000000000001)	(60, 59.28571428571429)	(61, 44.28571428571429)	(62, 42.85714285714286)	(63, 35.714285714285715)	(64, 43.57142857142858)	(65, 26.42857142857143)	(66, 38.57142857142858)	(67, 36.42857142857143)	(68, 45.0)	(69, 30.714285714285715)	(70, 72.85714285714286)	(71, 74.28571428571429)	(72, 35.714285714285715)	(73, 24.28571428571429)	(74, 23.571428571428573)	(75, 24.28571428571429)	(76, 15.000000000000002)	(77, 19.28571428571429)	(78, 25.714285714285715)	(79, 25.714285714285715)	(80, 33.57142857142858)	(81, 32.85714285714286)	(82, 29.28571428571429)	(83, 37.85714285714286)	(84, 25.0)	(85, 20.714285714285715)	(86, 47.85714285714286)	(87, 14.285714285714286)	(88, 26.42857142857143)	(89, 42.85714285714286)	(90, 56.42857142857143)	(91, 40.0)	(92, 32.85714285714286)	(93, 20.0)	(94, 57.142857142857146)	(95, 42.85714285714286)	(96, 15.714285714285715)	(97, 37.142857142857146)	(98, 27.857142857142858)	(99, 16.42857142857143)	(100, 12.857142857142858)	(101, 70.71428571428572)
SRR3192397_2 - Adapter 1	(1, 0.9057139661899515)	(2, 1.1769973418565522)	(3, 1.15114245594088)	(4, 0.9407811413666819)	(5, 0.8550064875540814)	(6, 0.6951203850905822)	(7, 1.5021079108654836)	(8, 4.554343205328043)	(9, 19.365079365079364)	(10, 87.29024943310657)	(11, 299.9547511312217)	(12, 1210.3636363636363)	(13, 3972.1428571428573)	(14, 6083.571428571429)	(15, 2053.571428571429)	(16, 2810.0)	(17, 3957.857142857143)	(18, 852.8571428571429)	(19, 1479.2857142857144)	(20, 724.2857142857143)	(21, 300.7142857142857)	(22, 469.28571428571433)	(23, 499.28571428571433)	(24, 776.4285714285714)	(25, 338.5714285714286)	(26, 425.7142857142857)	(27, 348.5714285714286)	(28, 575.0)	(29, 462.8571428571429)	(30, 1561.4285714285716)	(31, 87.14285714285715)	(32, 362.8571428571429)	(33, 215.71428571428572)	(34, 275.0)	(35, 769.2857142857143)	(36, 423.5714285714286)	(37, 732.8571428571429)	(38, 332.8571428571429)	(39, 340.7142857142857)	(40, 241.42857142857144)	(41, 287.8571428571429)	(42, 547.8571428571429)	(43, 166.42857142857144)	(44, 263.5714285714286)	(45, 447.14285714285717)	(46, 122.14285714285715)	(47, 135.0)	(48, 150.0)	(49, 144.2857142857143)	(50, 149.2857142857143)	(51, 157.14285714285714)	(52, 99.28571428571429)	(53, 76.42857142857143)	(54, 65.71428571428572)	(55, 69.28571428571429)	(56, 75.0)	(57, 78.57142857142857)	(58, 88.57142857142858)	(59, 155.71428571428572)	(60, 81.42857142857143)	(61, 79.28571428571429)	(62, 46.42857142857143)	(63, 94.28571428571429)	(64, 90.71428571428572)	(65, 100.71428571428572)	(66, 50.714285714285715)	(67, 42.85714285714286)	(68, 42.142857142857146)	(69, 28.571428571428573)	(70, 35.0)	(71, 16.42857142857143)	(72, 23.571428571428573)	(73, 35.714285714285715)	(74, 22.142857142857146)	(75, 22.142857142857146)	(76, 25.714285714285715)	(77, 30.714285714285715)	(78, 55.714285714285715)	(79, 20.0)	(80, 23.571428571428573)	(81, 22.142857142857146)	(82, 13.571428571428573)	(83, 17.857142857142858)	(84, 17.857142857142858)	(85, 26.42857142857143)	(86, 15.000000000000002)	(87, 16.42857142857143)	(88, 18.571428571428573)	(89, 15.714285714285715)	(90, 12.142857142857144)	(91, 20.714285714285715)	(92, 32.85714285714286)	(93, 22.142857142857146)	(94, 11.428571428571429)	(95, 24.28571428571429)	(96, 15.714285714285715)	(97, 25.0)	(98, 26.42857142857143)	(99, 19.28571428571429)	(100, 9.285714285714286)	(101, 20.0)
SRR3192398_1 - Adapter 1	(1, 0.9319306311214718)	(2, 1.0935488502668218)	(3, 1.4040457983012613)	(4, 1.6883263860166653)	(5, 4.071048422883454)	(6, 11.388203900265658)	(7, 40.331419313335395)	(8, 143.36224149432957)	(9, 531.5516584064048)	(10, 1863.2317073170734)	(11, 6875.487804878049)	(12, 27021.707317073175)	(13, 102395.0)	(14, 84764.0)	(15, 80197.0)	(16, 75853.0)	(17, 56820.0)	(18, 43570.0)	(19, 33410.0)	(20, 27061.0)	(21, 23822.0)	(22, 25845.0)	(23, 27296.0)	(24, 24317.0)	(25, 19752.0)	(26, 18553.0)	(27, 17968.0)	(28, 20792.0)	(29, 14527.0)	(30, 11801.0)	(31, 9414.0)	(32, 8692.0)	(33, 7743.0)	(34, 15277.0)	(35, 7217.0)	(36, 6097.0)	(37, 5269.0)	(38, 6084.0)	(39, 5045.0)	(40, 4900.0)	(41, 4024.0)	(42, 2218.0)	(43, 1554.0)	(44, 1651.0)	(45, 1544.0)	(46, 1849.0)	(47, 1504.0)	(48, 1213.0)	(49, 1085.0)	(50, 721.0)	(51, 628.0)	(52, 557.0)	(53, 452.0)	(54, 351.0)	(55, 244.0)	(56, 269.0)	(57, 249.0)	(58, 342.0)	(59, 374.0)	(60, 271.0)	(61, 279.0)	(62, 431.0)	(63, 709.0)	(64, 542.0)	(65, 397.0)	(66, 556.0)	(67, 1036.0)	(68, 1885.0)	(69, 4722.0)	(70, 2904.0)	(71, 1746.0)	(72, 1062.0)	(73, 324.0)	(74, 159.0)	(75, 60.0)	(76, 18.0)	(77, 22.0)	(78, 43.0)	(79, 37.0)	(80, 29.0)	(81, 38.0)	(82, 32.0)	(83, 43.0)	(84, 33.0)	(85, 35.0)	(86, 33.0)	(87, 31.0)	(88, 34.0)	(89, 33.0)	(90, 32.0)	(91, 43.0)	(92, 28.0)	(93, 29.0)	(94, 29.0)	(95, 54.0)	(96, 32.0)	(97, 38.0)	(98, 25.0)	(99, 33.0)	(100, 218.0)	
SRR3192398_2 - Adapter 1	(1, 0.9635084160416746)	(2, 1.1547016847480607)	(3, 1.5103095690722421)	(4, 1.8724063899181322)	(5, 3.890493818703819)	(6, 11.296355860524404)	(7, 41.07121583950823)	(8, 144.8070141999428)	(9, 546.366755623332)	(10, 1926.112804878049)	(11, 7092.5609756097565)	(12, 28068.78048780488)	(13, 107501.0)	(14, 92108.0)	(15, 76639.0)	(16, 75434.0)	(17, 58571.0)	(18, 38866.0)	(19, 34770.0)	(20, 25685.0)	(21, 22593.0)	(22, 24593.0)	(23, 28123.0)	(24, 28200.0)	(25, 19612.0)	(26, 18924.0)	(27, 18378.0)	(28, 22029.0)	(29, 14864.0)	(30, 17938.0)	(31, 6556.0)	(32, 7698.0)	(33, 6090.0)	(34, 12855.0)	(35, 6528.0)	(36, 5619.0)	(37, 5002.0)	(38, 5565.0)	(39, 4812.0)	(40, 4447.0)	(41, 3554.0)	(42, 3080.0)	(43, 1823.0)	(44, 2075.0)	(45, 2015.0)	(46, 1509.0)	(47, 1508.0)	(48, 1165.0)	(49, 1033.0)	(50, 854.0)	(51, 801.0)	(52, 382.0)	(53, 340.0)	(54, 380.0)	(55, 329.0)	(56, 301.0)	(57, 302.0)	(58, 392.0)	(59, 355.0)	(60, 332.0)	(61, 288.0)	(62, 455.0)	(63, 1175.0)	(64, 1889.0)	(65, 3415.0)	(66, 1487.0)	(67, 213.0)	(68, 112.0)	(69, 70.0)	(70, 57.0)	(71, 54.0)	(72, 36.0)	(73, 45.0)	(74, 56.0)	(75, 46.0)	(76, 58.0)	(77, 40.0)	(78, 69.0)	(79, 48.0)	(80, 52.0)	(81, 50.0)	(82, 96.0)	(83, 70.0)	(84, 57.0)	(85, 70.0)	(86, 54.0)	(87, 36.0)	(88, 52.0)	(89, 42.0)	(90, 42.0)	(91, 76.0)	(92, 54.0)	(93, 62.0)	(94, 33.0)	(95, 78.0)	(96, 41.0)	(97, 112.0)	(98, 49.0)	(99, 44.0)	(100, 71.0)	
SRR3192399_1 - Adapter 1	(1, 0.9223111132223342)	(2, 1.0968258858063595)	(3, 1.3945981965876022)	(4, 1.7555430437813206)	(5, 4.374726652088111)	(6, 12.484132487065978)	(7, 44.781217331939494)	(8, 158.14302782044717)	(9, 577.2252559726962)	(10, 2071.9262295081967)	(11, 7623.169398907104)	(12, 30272.608695652176)	(13, 117532.72727272726)	(14, 105006.36363636363)	(15, 103114.54545454544)	(16, 77220.0)	(17, 51591.81818181818)	(18, 37433.63636363636)	(19, 34892.72727272727)	(20, 33738.181818181816)	(21, 28342.727272727272)	(22, 25853.63636363636)	(23, 23549.090909090908)	(24, 23339.999999999996)	(25, 25175.454545454544)	(26, 23280.90909090909)	(27, 19944.545454545452)	(28, 17165.454545454544)	(29, 14408.181818181816)	(30, 12980.90909090909)	(31, 9517.272727272726)	(32, 9486.363636363636)	(33, 9397.272727272726)	(34, 17500.90909090909)	(35, 9339.090909090908)	(36, 6928.181818181818)	(37, 6448.181818181818)	(38, 7222.727272727272)	(39, 6004.545454545454)	(40, 4780.90909090909)	(41, 4550.0)	(42, 3219.090909090909)	(43, 2848.181818181818)	(44, 2260.9090909090905)	(45, 2143.6363636363635)	(46, 2135.4545454545455)	(47, 1948.181818181818)	(48, 1801.8181818181818)	(49, 1539.9999999999998)	(50, 1165.4545454545453)	(51, 1116.3636363636363)	(52, 860.9090909090909)	(53, 691.8181818181818)	(54, 468.18181818181813)	(55, 409.09090909090907)	(56, 595.4545454545454)	(57, 919.9999999999999)	(58, 480.9090909090909)	(59, 354.5454545454545)	(60, 282.7272727272727)	(61, 281.8181818181818)	(62, 413.6363636363636)	(63, 675.4545454545454)	(64, 539.090909090909)	(65, 372.7272727272727)	(66, 451.81818181818176)	(67, 887.2727272727273)	(68, 1487.2727272727273)	(69, 3919.9999999999995)	(70, 2576.363636363636)	(71, 1485.4545454545453)	(72, 884.5454545454545)	(73, 371.8181818181818)	(74, 158.18181818181816)	(75, 45.45454545454545)	(76, 25.454545454545453)	(77, 29.999999999999996)	(78, 39.090909090909086)	(79, 33.63636363636363)	(80, 23.636363636363633)	(81, 54.54545454545454)	(82, 38.18181818181818)	(83, 46.36363636363636)	(84, 41.81818181818181)	(85, 41.81818181818181)	(86, 30.909090909090907)	(87, 29.09090909090909)	(88, 26.36363636363636)	(89, 40.0)	(90, 29.09090909090909)	(91, 49.99999999999999)	(92, 39.090909090909086)	(93, 32.72727272727273)	(94, 30.909090909090907)	(95, 44.54545454545454)	(96, 33.63636363636363)	(97, 48.18181818181818)	(98, 23.636363636363633)	(99, 39.090909090909086)	(100, 241.81818181818178)	
SRR3192399_2 - Adapter 1	(1, 0.9565139692436289)	(2, 1.1611953417362513)	(3, 1.5330538796101092)	(4, 1.955146956122008)	(5, 4.153714864792789)	(6, 12.33447117179583)	(7, 45.072643099438906)	(8, 158.49035671616318)	(9, 595.7337883959044)	(10, 2117.281420765027)	(11, 7765.3005464480875)	(12, 30955.869565217392)	(13, 123145.45454545453)	(14, 112678.18181818181)	(15, 98829.99999999999)	(16, 77813.63636363635)	(17, 54125.454545454544)	(18, 34314.54545454545)	(19, 36766.36363636363)	(20, 31906.363636363632)	(21, 26949.999999999996)	(22, 25194.545454545452)	(23, 24384.545454545452)	(24, 27610.90909090909)	(25, 24566.363636363636)	(26, 23334.545454545452)	(27, 20550.0)	(28, 18600.0)	(29, 14975.454545454544)	(30, 19982.727272727272)	(31, 6773.636363636363)	(32, 8544.545454545454)	(33, 7454.545454545454)	(34, 14790.90909090909)	(35, 8310.0)	(36, 6490.90909090909)	(37, 6023.636363636363)	(38, 6565.454545454545)	(39, 5689.999999999999)	(40, 4657.272727272727)	(41, 4300.909090909091)	(42, 4485.454545454545)	(43, 2738.181818181818)	(44, 2528.181818181818)	(45, 2480.0)	(46, 1690.9090909090908)	(47, 1884.5454545454545)	(48, 1654.5454545454545)	(49, 1408.181818181818)	(50, 1346.3636363636363)	(51, 1301.8181818181818)	(52, 616.3636363636363)	(53, 477.27272727272725)	(54, 504.5454545454545)	(55, 459.99999999999994)	(56, 560.9090909090909)	(57, 924.5454545454545)	(58, 561.8181818181818)	(59, 383.6363636363636)	(60, 419.99999999999994)	(61, 352.7272727272727)	(62, 480.9090909090909)	(63, 1181.8181818181818)	(64, 2055.4545454545455)	(65, 3491.8181818181815)	(66, 1505.4545454545453)	(67, 192.72727272727272)	(68, 105.45454545454544)	(69, 93.63636363636363)	(70, 61.81818181818181)	(71, 65.45454545454545)	(72, 36.36363636363636)	(73, 59.090909090909086)	(74, 49.99999999999999)	(75, 49.090909090909086)	(76, 66.36363636363636)	(77, 38.18181818181818)	(78, 56.36363636363636)	(79, 44.54545454545454)	(80, 67.27272727272727)	(81, 26.36363636363636)	(82, 87.27272727272727)	(83, 71.81818181818181)	(84, 57.272727272727266)	(85, 80.9090909090909)	(86, 50.90909090909091)	(87, 55.45454545454545)	(88, 48.18181818181818)	(89, 30.909090909090907)	(90, 42.72727272727273)	(91, 82.72727272727272)	(92, 48.18181818181818)	(93, 52.72727272727272)	(94, 40.0)	(95, 93.63636363636363)	(96, 40.90909090909091)	(97, 122.72727272727272)	(98, 54.54545454545454)	(99, 44.54545454545454)	(100, 63.63636363636363)	
SRR3192400_1 - Adapter 1	(1, 0.8119036567814859)	(2, 1.010006787376722)	(3, 1.5838806918273742)	(4, 2.0534555822712317)	(5, 5.20735075919219)	(6, 18.164426789585534)	(7, 65.29580789163118)	(8, 279.3090237394814)	(9, 1196.9020251778873)	(10, 4312.986870897155)	(11, 17623.114035087718)	(12, 69249.29824561403)	(13, 63020.35087719298)	(14, 58865.9649122807)	(15, 46680.52631578947)	(16, 42002.63157894737)	(17, 36207.54385964912)	(18, 30140.17543859649)	(19, 31422.456140350878)	(20, 31209.298245614034)	(21, 34384.56140350877)	(22, 26970.17543859649)	(23, 23532.105263157893)	(24, 21299.122807017542)	(25, 20852.80701754386)	(26, 19505.43859649123)	(27, 21175.087719298244)	(28, 19013.508771929824)	(29, 22360.35087719298)	(30, 20028.77192982456)	(31, 18535.78947368421)	(32, 17595.263157894737)	(33, 16069.473684210527)	(34, 17631.22807017544)	(35, 28095.263157894737)	(36, 16968.42105263158)	(37, 12008.245614035088)	(38, 12846.666666666666)	(39, 13098.245614035088)	(40, 14213.157894736842)	(41, 14194.912280701754)	(42, 15009.649122807017)	(43, 17829.122807017542)	(44, 13468.59649122807)	(45, 8508.070175438595)	(46, 8198.421052631578)	(47, 8523.684210526315)	(48, 8585.438596491227)	(49, 7791.228070175438)	(50, 7774.3859649122805)	(51, 8426.491228070176)	(52, 7888.421052631578)	(53, 8678.771929824561)	(54, 8970.350877192983)	(55, 8426.315789473683)	(56, 5851.754385964912)	(57, 5244.210526315789)	(58, 5261.929824561404)	(59, 5371.228070175438)	(60, 4709.473684210526)	(61, 5347.19298245614)	(62, 4623.508771929824)	(63, 4001.052631578947)	(64, 3682.9824561403507)	(65, 2825.7894736842104)	(66, 1756.4912280701753)	(67, 1237.8947368421052)	(68, 831.578947368421)	(69, 722.4561403508771)	(70, 776.8421052631579)	(71, 953.1578947368421)	(72, 1234.7368421052631)	(73, 861.0526315789474)	(74, 1028.421052631579)	(75, 170.0)	(76, 73.68421052631578)	(77, 206.66666666666666)	(78, 52.10526315789473)	(79, 165.26315789473685)	(80, 54.73684210526316)	(81, 71.22807017543859)	(82, 154.56140350877192)	(83, 51.40350877192982)	(84, 458.77192982456137)	(85, 76.84210526315789)	(86, 59.64912280701754)	(87, 163.1578947368421)	(88, 54.3859649122807)	(89, 61.75438596491228)	(90, 89.29824561403508)	(91, 84.03508771929825)	(92, 326.3157894736842)	(93, 29.473684210526315)	(94, 54.21052631578947)	(95, 22.807017543859647)	(96, 40.35087719298245)	(97, 206.8421052631579)	(98, 54.3859649122807)	(99, 67.71929824561403)	(100, 15.789473684210526)	
SRR3192400_2 - Adapter 1	(1, 0.8027221746898084)	(2, 0.9903022490543003)	(3, 1.5673014268056014)	(4, 2.060510872496207)	(5, 5.2617727169716115)	(6, 18.17486007003981)	(7, 65.31137222706826)	(8, 278.3142915782992)	(9, 1221.808976464149)	(10, 4224.890590809628)	(11, 17332.280701754386)	(12, 67921.05263157895)	(13, 60847.19298245614)	(14, 59431.929824561405)	(15, 45957.01754385965)	(16, 42122.63157894737)	(17, 35818.77192982456)	(18, 29182.456140350878)	(19, 31688.59649122807)	(20, 29120.701754385966)	(21, 27956.14035087719)	(22, 28560.701754385966)	(23, 23470.877192982454)	(24, 24846.491228070176)	(25, 22797.01754385965)	(26, 20333.333333333332)	(27, 20336.666666666664)	(28, 25220.701754385966)	(29, 25952.105263157893)	(30, 15874.912280701754)	(31, 18701.052631578947)	(32, 19844.035087719298)	(33, 17146.315789473683)	(34, 16560.0)	(35, 24973.508771929824)	(36, 15494.561403508771)	(37, 16187.368421052632)	(38, 13545.78947368421)	(39, 17059.649122807015)	(40, 10395.087719298246)	(41, 13952.631578947368)	(42, 39881.40350877193)	(43, 2471.40350877193)	(44, 9222.807017543859)	(45, 4918.245614035088)	(46, 6032.2807017543855)	(47, 7490.877192982456)	(48, 7288.421052631578)	(49, 7977.19298245614)	(50, 7234.561403508772)	(51, 8105.78947368421)	(52, 7978.771929824561)	(53, 8895.964912280702)	(54, 14953.684210526315)	(55, 4127.543859649123)	(56, 7010.0)	(57, 9099.298245614034)	(58, 3165.614035087719)	(59, 3397.719298245614)	(60, 3250.5263157894738)	(61, 3671.754385964912)	(62, 4533.684210526316)	(63, 4973.859649122807)	(64, 2159.6491228070176)	(65, 1211.7543859649122)	(66, 1079.122807017544)	(67, 1043.5087719298244)	(68, 670.1754385964912)	(69, 634.2105263157895)	(70, 696.8421052631579)	(71, 777.0175438596491)	(72, 996.6666666666666)	(73, 958.421052631579)	(74, 1066.842105263158)	(75, 222.10526315789474)	(76, 135.96491228070175)	(77, 272.98245614035085)	(78, 85.78947368421052)	(79, 164.56140350877192)	(80, 61.40350877192982)	(81, 71.9298245614035)	(82, 142.28070175438597)	(83, 56.84210526315789)	(84, 384.56140350877195)	(85, 71.57894736842105)	(86, 58.070175438596486)	(87, 149.82456140350877)	(88, 50.87719298245614)	(89, 55.96491228070175)	(90, 78.94736842105263)	(91, 85.78947368421052)	(92, 288.77192982456137)	(93, 31.929824561403507)	(94, 54.91228070175438)	(95, 19.12280701754386)	(96, 40.70175438596491)	(97, 184.73684210526315)	(98, 57.368421052631575)	(99, 64.56140350877193)	(100, 19.12280701754386)	
