Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
SRR3192396_1_val_1	(20, 23734.0)	(22, 32774.0)	(24, 50922.0)	(26, 56694.0)	(28, 60251.0)	(30, 62815.0)	(32, 66590.0)	(34, 70329.0)	(36, 73485.0)	(38, 75904.0)	(40, 80351.0)	(42, 82276.0)	(44, 77522.0)	(46, 83600.0)	(48, 88150.0)	(50, 95785.0)	(52, 103940.0)	(54, 108857.0)	(56, 117813.0)	(58, 122111.0)	(60, 130011.0)	(62, 142394.0)	(64, 161570.0)	(66, 160876.0)	(68, 174992.0)	(70, 188740.0)	(72, 208126.0)	(74, 206222.0)	(76, 204550.0)	(78, 241163.0)	(80, 273644.0)	(82, 309173.0)	(84, 350464.0)	(86, 406064.0)	(88, 506919.0)	(90, 625308.0)	(92, 814614.0)	(94, 1080307.0)	(96, 2012058.0)	(98, 10713593.0)	(100, 83968493.0)
SRR3192396_2_val_2	(20, 77884.0)	(22, 81118.0)	(24, 82244.0)	(26, 92654.0)	(28, 103227.0)	(30, 111572.0)	(32, 115600.0)	(34, 119627.0)	(36, 119317.0)	(38, 136949.0)	(40, 136235.0)	(42, 139352.0)	(44, 143656.0)	(46, 163141.0)	(48, 143120.0)	(50, 142889.0)	(52, 139960.0)	(54, 144538.0)	(56, 164731.0)	(58, 186295.0)	(60, 183532.0)	(62, 204977.0)	(64, 209684.0)	(66, 235477.0)	(68, 247486.0)	(70, 246350.0)	(72, 291664.0)	(74, 344376.0)	(76, 307937.0)	(78, 357565.0)	(80, 337193.0)	(82, 413058.0)	(84, 464138.0)	(86, 568358.0)	(88, 666127.0)	(90, 876988.0)	(92, 1136417.0)	(94, 1384872.0)	(96, 2524931.0)	(98, 12393616.0)	(100, 78474329.0)
SRR3192397_1_val_1	(20, 18306.0)	(22, 24050.0)	(24, 36312.0)	(26, 38916.0)	(28, 40585.0)	(30, 41801.0)	(32, 43174.0)	(34, 46451.0)	(36, 48819.0)	(38, 49435.0)	(40, 54377.0)	(42, 58363.0)	(44, 55367.0)	(46, 58770.0)	(48, 62114.0)	(50, 66822.0)	(52, 73315.0)	(54, 77125.0)	(56, 83692.0)	(58, 86054.0)	(60, 92329.0)	(62, 99770.0)	(64, 109864.0)	(66, 113006.0)	(68, 122736.0)	(70, 129870.0)	(72, 140880.0)	(74, 139696.0)	(76, 133218.0)	(78, 155739.0)	(80, 180224.0)	(82, 208931.0)	(84, 242365.0)	(86, 289010.0)	(88, 355917.0)	(90, 442743.0)	(92, 605236.0)	(94, 843861.0)	(96, 1668811.0)	(98, 9486028.0)	(100, 75345813.0)
SRR3192397_2_val_2	(20, 57508.0)	(22, 60572.0)	(24, 59860.0)	(26, 68571.0)	(28, 75660.0)	(30, 84061.0)	(32, 84965.0)	(34, 89235.0)	(36, 88471.0)	(38, 103173.0)	(40, 102235.0)	(42, 105056.0)	(44, 109294.0)	(46, 125514.0)	(48, 108613.0)	(50, 110385.0)	(52, 107022.0)	(54, 109798.0)	(56, 124783.0)	(58, 140103.0)	(60, 138385.0)	(62, 156068.0)	(64, 157625.0)	(66, 175234.0)	(68, 180968.0)	(70, 183040.0)	(72, 218136.0)	(74, 257336.0)	(76, 230092.0)	(78, 270260.0)	(80, 253579.0)	(82, 311652.0)	(84, 351640.0)	(86, 427872.0)	(88, 498541.0)	(90, 670183.0)	(92, 895661.0)	(94, 1100807.0)	(96, 2106640.0)	(98, 10981465.0)	(100, 70489832.0)
SRR3192398_1_val_1	(20, 52585.0)	(22, 53334.0)	(24, 60718.0)	(26, 65885.0)	(28, 68192.0)	(30, 71459.0)	(32, 77142.0)	(34, 80300.0)	(36, 76416.0)	(38, 70437.0)	(40, 66416.0)	(42, 67348.0)	(44, 69577.0)	(46, 73210.0)	(48, 75841.0)	(50, 80516.0)	(52, 83308.0)	(54, 87427.0)	(56, 88190.0)	(58, 88344.0)	(60, 92773.0)	(62, 99697.0)	(64, 101993.0)	(66, 113778.0)	(68, 112566.0)	(70, 122619.0)	(72, 143506.0)	(74, 140041.0)	(76, 109207.0)	(78, 131112.0)	(80, 155872.0)	(82, 200595.0)	(84, 272339.0)	(86, 321443.0)	(88, 378276.0)	(90, 447567.0)	(92, 555267.0)	(94, 767813.0)	(96, 2324072.0)	(98, 19495332.0)	(100, 39023183.0)
SRR3192398_2_val_2	(20, 61258.0)	(22, 65110.0)	(24, 64423.0)	(26, 68511.0)	(28, 69426.0)	(30, 70731.0)	(32, 75130.0)	(34, 75955.0)	(36, 77155.0)	(38, 81489.0)	(40, 79856.0)	(42, 82804.0)	(44, 84501.0)	(46, 91034.0)	(48, 86368.0)	(50, 73496.0)	(52, 72550.0)	(54, 80437.0)	(56, 79507.0)	(58, 82327.0)	(60, 79748.0)	(62, 83786.0)	(64, 92776.0)	(66, 106525.0)	(68, 107555.0)	(70, 117405.0)	(72, 144663.0)	(74, 166853.0)	(76, 164380.0)	(78, 169292.0)	(80, 182511.0)	(82, 239401.0)	(84, 312115.0)	(86, 370276.0)	(88, 433318.0)	(90, 504729.0)	(92, 607231.0)	(94, 819680.0)	(96, 2568383.0)	(98, 20286827.0)	(100, 37486174.0)
SRR3192399_1_val_1	(20, 58330.0)	(22, 59325.0)	(24, 66398.0)	(26, 71921.0)	(28, 75980.0)	(30, 78052.0)	(32, 83444.0)	(34, 88615.0)	(36, 84817.0)	(38, 78495.0)	(40, 73940.0)	(42, 75973.0)	(44, 78225.0)	(46, 81207.0)	(48, 85398.0)	(50, 90208.0)	(52, 93342.0)	(54, 97144.0)	(56, 100180.0)	(58, 100528.0)	(60, 102657.0)	(62, 113550.0)	(64, 116658.0)	(66, 130434.0)	(68, 126531.0)	(70, 136295.0)	(72, 157153.0)	(74, 166661.0)	(76, 113902.0)	(78, 150721.0)	(80, 182572.0)	(82, 208975.0)	(84, 330158.0)	(86, 393283.0)	(88, 446115.0)	(90, 525868.0)	(92, 653128.0)	(94, 896512.0)	(96, 2602503.0)	(98, 21638830.0)	(100, 43520489.0)
SRR3192399_2_val_2	(20, 69020.0)	(22, 72918.0)	(24, 72324.0)	(26, 76330.0)	(28, 77074.0)	(30, 78518.0)	(32, 83804.0)	(34, 84482.0)	(36, 85765.0)	(38, 89679.0)	(40, 88220.0)	(42, 92412.0)	(44, 93857.0)	(46, 100273.0)	(48, 96675.0)	(50, 82291.0)	(52, 80953.0)	(54, 89643.0)	(56, 89452.0)	(58, 93067.0)	(60, 88605.0)	(62, 95019.0)	(64, 106002.0)	(66, 122604.0)	(68, 119448.0)	(70, 131427.0)	(72, 158645.0)	(74, 198431.0)	(76, 175221.0)	(78, 193244.0)	(80, 212212.0)	(82, 250527.0)	(84, 373563.0)	(86, 448393.0)	(88, 505971.0)	(90, 591986.0)	(92, 709157.0)	(94, 951570.0)	(96, 2911818.0)	(98, 22574023.0)	(100, 41719894.0)
SRR3192400_1_val_1	(20, 10513.0)	(22, 19401.0)	(24, 33340.0)	(26, 58521.0)	(28, 76906.0)	(30, 104788.0)	(32, 141401.0)	(34, 168340.0)	(36, 185492.0)	(38, 224415.0)	(40, 261989.0)	(42, 351846.0)	(44, 444553.0)	(46, 428921.0)	(48, 294583.0)	(50, 241107.0)	(52, 233272.0)	(54, 257189.0)	(56, 282722.0)	(58, 281704.0)	(60, 298142.0)	(62, 316877.0)	(64, 417035.0)	(66, 389750.0)	(68, 382931.0)	(70, 401743.0)	(72, 430390.0)	(74, 438001.0)	(76, 428418.0)	(78, 503985.0)	(80, 560771.0)	(82, 631312.0)	(84, 811918.0)	(86, 1068883.0)	(88, 1199734.0)	(90, 1344691.0)	(92, 1494374.0)	(94, 1870471.0)	(96, 4239000.0)	(98, 25111373.0)	(100, 48484677.0)
SRR3192400_2_val_2	(20, 80455.0)	(22, 90141.0)	(24, 98585.0)	(26, 125605.0)	(28, 148692.0)	(30, 176513.0)	(32, 211755.0)	(34, 236918.0)	(36, 269792.0)	(38, 310733.0)	(40, 358630.0)	(42, 434030.0)	(44, 530082.0)	(46, 504347.0)	(48, 392325.0)	(50, 290435.0)	(52, 277909.0)	(54, 303841.0)	(56, 330038.0)	(58, 327149.0)	(60, 349350.0)	(62, 366411.0)	(64, 465022.0)	(66, 432752.0)	(68, 453080.0)	(70, 472667.0)	(72, 498380.0)	(74, 518136.0)	(76, 566914.0)	(78, 619158.0)	(80, 672476.0)	(82, 747786.0)	(84, 931710.0)	(86, 1195824.0)	(88, 1337827.0)	(90, 1501389.0)	(92, 1682616.0)	(94, 2102077.0)	(96, 4414263.0)	(98, 24269792.0)	(100, 45829874.0)
