Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR3192396_1	0.5230996729919312	4.889345855399916
SRR3192396_2	1.7349973807952581	6.110352971738757
SRR3192397_1	0.5773945886935363	4.624253221527494
SRR3192397_2	1.7986600562938615	4.774659787824227
SRR3192398_1	1.0339552119539182	4.626044656003965
SRR3192398_2	0.41257490009079784	2.977250161264433
SRR3192399_1	1.1290989576712702	4.644642217088443
SRR3192399_2	0.4098173124444128	2.989598693034836
SRR3192400_1	0.19332419422084585	0.4029326391566422
SRR3192400_2	0.20408292797738664	0.28260101460308634
SRR3192401_1	0.21776596948353788	0.358243868638525
SRR3192401_2	0.23967219462855852	0.33168210060434944
SRR3192657_1	0.0	0.0
SRR3192657_2	0.0	0.0
SRR3192658_1	0.10090411646559584	0.0
SRR3192658_2	0.19385317914908234	0.0
