Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR3192396_1	(1, 0.36645077060762216)	(2, 0.0)	(3, 0.0)	(4, 0.00020744291870283468)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.00010324567284063102)	(22, 0.0007227197098844172)	(24, 0.0)	(26, 4.757865107863181e-06)	(28, 0.0)	(30, 1.5700954855948496e-05)	(32, 0.0006827536429783665)	(34, 0.0026453729999719286)	(36, 0.006405989581226987)	(38, 0.0061452585733160845)	(40, 0.0015562976767820463)	(42, 0.000124180279315229)	(44, 0.0015072916661710558)	(46, 0.0006841810025107254)	(48, 0.001350757904122357)	(50, 0.018257355778403383)	(52, 0.013936738473952829)	(54, 0.008763035955662407)	(56, 0.005754637847960518)	(58, 0.0026920000780289877)	(60, 0.009406775104756295)	(62, 0.0027961973238911915)	(64, 0.00026739201906191077)	(66, 2.8547190647179084e-06)	(68, 0.0006308929133026578)	(70, 0.0007113008336255455)	(72, 0.005467262795445581)	(74, 0.015135720481134353)	(76, 0.01195699080257096)	(78, 0.024635749742004765)	(80, 0.0352234269665327)	(82, 0.008191140569697252)	(84, 0.0008064581357828092)	(86, 0.0009706044820040889)	(88, 0.00029689078273066247)	(90, 0.0011571127942323256)	(92, 0.021579772983224242)	(94, 0.06130223719575237)	(96, 0.07950154701983982)	(98, 0.03534284938074007)	(100, 0.14856576535256016)
SRR3192396_2	(1, 0.018761213693326097)	(2, 0.014259321728265953)	(3, 0.012008851532246668)	(4, 0.012653066467851342)	(5, 0.018421502124624664)	(6, 0.06387148435399849)	(7, 0.09113690614111923)	(8, 0.1053962278693852)	(9, 0.11835760399622607)	(10, 0.08145702957917159)	(12, 0.04757817529212102)	(14, 0.037441543679818515)	(16, 0.042344523673471524)	(18, 0.0868500696789345)	(20, 0.1133556604083295)	(22, 0.14471379776123416)	(24, 0.14263032863050087)	(26, 0.15658134069977728)	(28, 0.13420224637843203)	(30, 0.0855221495273299)	(32, 0.07700033733263614)	(34, 0.05744360859327533)	(36, 0.05661288534544241)	(38, 0.11086872431644941)	(40, 0.11803454495540215)	(42, 0.08805476112424546)	(44, 0.09757334605903654)	(46, 0.06411032918241322)	(48, 0.05837567436790573)	(50, 0.04834466736099778)	(52, 0.047483493776474546)	(54, 0.048842815837791057)	(56, 0.051795546923730944)	(58, 0.06624470746980064)	(60, 0.09851873385596896)	(62, 0.12997631058962797)	(64, 0.1311086824852994)	(66, 0.06483542782485156)	(68, 0.05241692410681788)	(70, 0.06036398619648174)	(72, 0.06781908503399257)	(74, 0.049470854032029)	(76, 0.07172576807405902)	(78, 0.08101026604554323)	(80, 0.10002174344354293)	(82, 0.08393492572734673)	(84, 0.08008105498997756)	(86, 0.06829820205035439)	(88, 0.05354073184529516)	(90, 0.06299651296066244)	(92, 0.07607160206358125)	(94, 0.09904162323132312)	(96, 0.0714450540326951)	(98, 0.2527477860464187)	(100, 0.41382483348661586)
SRR3192397_1	(1, 0.37796139347848856)	(2, 0.0)	(3, 0.0)	(4, 0.00024109507241458077)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.00010757381033744747)	(22, 0.0007589629633858103)	(24, 0.0)	(26, 5.405719112434547e-06)	(28, 0.0)	(30, 1.3514297781086366e-05)	(32, 0.0007005811969715173)	(34, 0.002710968134885925)	(36, 0.00653443326311088)	(38, 0.006323610217725931)	(40, 0.0015114390638366992)	(42, 0.00011352010136112546)	(44, 0.0015514413852687147)	(46, 0.0007022029127052475)	(48, 0.0013860263804282176)	(50, 0.01845999019705273)	(52, 0.014292721333276942)	(54, 0.008962141716505233)	(56, 0.005833852066139363)	(58, 0.0027525921720516714)	(60, 0.009585961702080181)	(62, 0.0028693557048802575)	(64, 0.0002454196477045284)	(66, 5.405719112434547e-07)	(68, 0.0006205765541074859)	(70, 0.0007357183712023418)	(72, 0.005585188986967374)	(74, 0.015387920025456178)	(76, 0.01220989775925591)	(78, 0.025004694326477235)	(80, 0.03580694282885519)	(82, 0.008317779998303037)	(84, 0.0007897755623266872)	(86, 0.000917891105291386)	(88, 0.0002610962331305886)	(90, 0.00117358161930954)	(92, 0.02196289618191032)	(94, 0.062415514015991755)	(96, 0.0809614551469322)	(98, 0.03594208580666606)	(100, 0.15129526651881808)
SRR3192397_2	(1, 0.01904759186457437)	(2, 0.013743500271453591)	(3, 0.011648243543473961)	(4, 0.01216611143444519)	(5, 0.018258356874158926)	(6, 0.06501350262142781)	(7, 0.09267348617593289)	(8, 0.10701053440593179)	(9, 0.1202080570470295)	(10, 0.08281940080587596)	(12, 0.04785845301811677)	(14, 0.037635157032680555)	(16, 0.042468410491108284)	(18, 0.08808673350903218)	(20, 0.1147817962019677)	(22, 0.14660580518878114)	(24, 0.1444559506977659)	(26, 0.1586746136792025)	(28, 0.13593924023612527)	(30, 0.0865655641507931)	(32, 0.0773363799101336)	(34, 0.05734494948852816)	(36, 0.05666977517138508)	(38, 0.11228867854731288)	(40, 0.11949558326801062)	(42, 0.08905381665824671)	(44, 0.09842787417111948)	(46, 0.06412588354316605)	(48, 0.05827797660733436)	(50, 0.04811522467595741)	(52, 0.047098949482819716)	(54, 0.04848227300369172)	(56, 0.05161650894508127)	(58, 0.0666741395327677)	(60, 0.09953874944872478)	(62, 0.1316119620866214)	(64, 0.1326158041258005)	(66, 0.06505728894623852)	(68, 0.05211815967871519)	(70, 0.06035323217459798)	(72, 0.06803043445807752)	(74, 0.04917582676581707)	(76, 0.07230743941983574)	(78, 0.08182637020492173)	(80, 0.10102045705744309)	(82, 0.08456382636345859)	(84, 0.08074576695434606)	(86, 0.06834396616659873)	(88, 0.053396071676894724)	(90, 0.06297933051941869)	(92, 0.07648443857801392)	(94, 0.10009391680157179)	(96, 0.0718641704526161)	(98, 0.25623541050468746)	(100, 0.4202362792253717)
SRR3192398_1	(1, 0.227137162005992)	(2, 0.00046825508291619615)	(3, 0.05804472557329182)	(4, 0.0)	(5, 0.00013233295821544672)	(6, 0.002620483414332253)	(7, 0.022941590646229533)	(8, 0.023084103062769246)	(9, 0.03199403751316531)	(10, 0.021304152064354886)	(12, 0.036356662509278936)	(14, 0.04353754325288197)	(16, 0.05503814984680352)	(18, 0.05558784059631383)	(20, 0.061987811465612525)	(22, 0.059224088530574544)	(24, 0.0647013642131952)	(26, 0.07666004643170868)	(28, 0.057033323678359484)	(30, 0.05777642413603084)	(32, 0.04395126552334675)	(34, 0.03676384084224955)	(36, 0.033203938845420826)	(38, 0.03859832465311532)	(40, 0.04300312169085806)	(42, 0.04264102381618062)	(44, 0.0354412383642611)	(46, 0.04162598640041818)	(48, 0.038218776278453444)	(50, 0.03310723399134031)	(52, 0.03283020730408709)	(54, 0.028997641245001267)	(56, 0.02957787036948438)	(58, 0.024918586873635025)	(60, 0.020569049752509738)	(62, 0.014989979486646425)	(64, 0.023494189812403928)	(66, 0.024605932082246883)	(68, 0.03930870542331583)	(70, 0.034456012219305436)	(72, 0.028414503703854076)	(74, 0.03312977422048689)	(76, 0.032340866200356345)	(78, 0.036691857529813666)	(80, 0.039019317965240295)	(82, 0.024087506811875378)	(84, 0.03631230915515179)	(86, 0.024117318082682155)	(88, 0.037161566821061906)	(90, 0.043549176919538274)	(92, 0.03114259853475713)	(94, 0.0376450910914645)	(96, 0.02768449112117107)	(98, 0.015344806319663668)	(100, 0.005219153703683937)
SRR3192398_2	(1, 0.11967989151838516)	(2, 0.13498979683807993)	(3, 0.14228556003991394)	(4, 0.1259431668044723)	(5, 0.11865758306096254)	(6, 0.09241930212600315)	(7, 0.0833261374257703)	(8, 0.07757328926422846)	(9, 0.07333863460133416)	(10, 0.09110615200217294)	(12, 0.09323293168777833)	(14, 0.08215840813514388)	(16, 0.09342706850010539)	(18, 0.0880792173590361)	(20, 0.08725249992227256)	(22, 0.11014682879771087)	(24, 0.08996677977402126)	(26, 0.08717469977650853)	(28, 0.07976987094977167)	(30, 0.08028902332430919)	(32, 0.07932779161683215)	(34, 0.07982585797055512)	(36, 0.07919982128361283)	(38, 0.08180139998962858)	(40, 0.08141894319830263)	(42, 0.07698797041058321)	(44, 0.09554803135238263)	(46, 0.08861509312939204)	(48, 0.08347373957147214)	(50, 0.07598311245314504)	(52, 0.07037350381230893)	(54, 0.09679137947627502)	(56, 0.14188928826943362)	(58, 0.1511300551153683)	(60, 0.16091396877331915)	(62, 0.1380865334811546)	(64, 0.08956978089937492)	(66, 0.08649194896461676)	(68, 0.10311791282480579)	(70, 0.11444692283554686)	(72, 0.11374890283616869)	(74, 0.09167111193916964)	(76, 0.10303502294987962)	(78, 0.10665091196749182)	(80, 0.08736810948466958)	(82, 0.09201285089719856)	(84, 0.0862360082981781)	(86, 0.09159476600173766)	(88, 0.0818595683229101)	(90, 0.07588858891156258)	(92, 0.10095841345172955)	(94, 0.08062203703234587)	(96, 0.08587391042350065)	(98, 0.08446841807058605)	(100, 0.09162675858504249)
SRR3192399_1	(1, 0.2274977451277819)	(2, 0.0004909114579854145)	(3, 0.05797442952898309)	(4, 0.0)	(5, 0.0001471432221547794)	(6, 0.00254310365370163)	(7, 0.02296996848504698)	(8, 0.023318945330511414)	(9, 0.03198086315151666)	(10, 0.02144254370993586)	(12, 0.0368899777313708)	(14, 0.043960014233046685)	(16, 0.055295250948598496)	(18, 0.055691756356971336)	(20, 0.062276090010295604)	(22, 0.05946409188424917)	(24, 0.06474887743394096)	(26, 0.0768810314234638)	(28, 0.05702190504220237)	(30, 0.058119619522525194)	(32, 0.04407655687360291)	(34, 0.03695248104697637)	(36, 0.03342625232489546)	(38, 0.038748800294432284)	(40, 0.043060877995012396)	(42, 0.04282453733287883)	(44, 0.03570241473486497)	(46, 0.04181732244494324)	(48, 0.03853329407083391)	(50, 0.03319902672962105)	(52, 0.03313847664262815)	(54, 0.02929908026631517)	(56, 0.029816685848673797)	(58, 0.02522464538027707)	(60, 0.020747845400028123)	(62, 0.015162262643984525)	(64, 0.02378837127375741)	(66, 0.024912128802249224)	(68, 0.03964142577042433)	(70, 0.03502594655867552)	(72, 0.028666234195808774)	(74, 0.033270645112085766)	(76, 0.03273220509119195)	(78, 0.037070325839941035)	(80, 0.03930351722043172)	(82, 0.024513670165263717)	(84, 0.03662759402106825)	(86, 0.024318998380200532)	(88, 0.03761137016565176)	(90, 0.043974988985743854)	(92, 0.03157198729526355)	(94, 0.03796620669695421)	(96, 0.02772933553792945)	(98, 0.0153198230854069)	(100, 0.0052073074813890514)
SRR3192399_2	(1, 0.12061967974707408)	(2, 0.13608534390222732)	(3, 0.14340474259012123)	(4, 0.1271812257332505)	(5, 0.11964176328832861)	(6, 0.0934828235549891)	(7, 0.08405784442263252)	(8, 0.0782736834243004)	(9, 0.07394142236138933)	(10, 0.09183299645348375)	(12, 0.09421528428474188)	(14, 0.08286897927371824)	(16, 0.09403623832858009)	(18, 0.08867332363438134)	(20, 0.0879024494085793)	(22, 0.1108939034083657)	(24, 0.09075025672585808)	(26, 0.0878998451037624)	(28, 0.08038968108803064)	(30, 0.0810928433885933)	(32, 0.07988574810596072)	(34, 0.08063253251220645)	(36, 0.07982975555239741)	(38, 0.08250047014212708)	(40, 0.0820688066187261)	(42, 0.07765516103028694)	(44, 0.09657934198228171)	(46, 0.08965319332173949)	(48, 0.08435994378139278)	(50, 0.07673323712510478)	(52, 0.07119843831299072)	(54, 0.09781248031308327)	(56, 0.1430492549826146)	(58, 0.15210507390717576)	(60, 0.16182368840763767)	(62, 0.13899435238270322)	(64, 0.09026650710611914)	(66, 0.08723574737545323)	(68, 0.10397491658606994)	(70, 0.11525416074805843)	(72, 0.11465712386878439)	(74, 0.09238771337948318)	(76, 0.10380107923954195)	(78, 0.10731623966615104)	(80, 0.08822342997726207)	(82, 0.09291182972388405)	(84, 0.08678129618490439)	(86, 0.09243654409480002)	(88, 0.08246986956052851)	(90, 0.0766147412559359)	(92, 0.10157570077350196)	(94, 0.08150823000688864)	(96, 0.08669926058317208)	(98, 0.0854446367376311)	(100, 0.09269632350028567)
SRR3192400_1	(1, 0.015811350812785487)	(2, 0.0030837666909394115)	(3, 6.576753606268886e-05)	(4, 0.07628825397443138)	(5, 0.001953191428147474)	(6, 0.00026724586082616425)	(7, 3.1317874315566125e-06)	(8, 0.00021296154534584962)	(9, 0.00016702866301635265)	(10, 0.00020878582877044083)	(12, 0.0005052617056244669)	(14, 0.00020982975791429307)	(16, 0.0006514117857637754)	(18, 0.00022653262421592831)	(20, 5.6894138339945125e-05)	(22, 0.0002823828334120212)	(24, 1.1483220582374245e-05)	(26, 5.950396119957564e-05)	(28, 0.000567375489683673)	(30, 0.0014802915259824257)	(32, 0.29420637489529133)	(34, 0.0017997338440012)	(36, 0.0023493625382393856)	(38, 0.00507506153283749)	(40, 0.006357006521487997)	(42, 0.007859220559491318)	(44, 0.0049743223704557535)	(46, 0.0034011211506704813)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.001252193008050719)	(60, 0.0023216984159273022)	(62, 0.0009348385483196488)	(64, 0.001400430946477732)	(66, 0.0848693515368965)	(68, 2.2795930998037393)	(70, 0.00023331816365096766)	(72, 0.00016128705272516554)	(74, 0.0006216598051639876)	(76, 7.986057950469362e-05)	(78, 0.003936656801466662)	(80, 0.00614769872814563)	(82, 0.0001257934618341906)	(84, 2.087858287704408e-06)	(86, 0.0)	(88, 0.000495866343329797)	(90, 0.0010507146832872435)	(92, 0.0019688503653052573)	(94, 0.0015157851168734005)	(96, 0.001037665568989091)	(98, 0.0)	(100, 0.03524200396730656)
SRR3192400_2	(1, 0.03784973896864937)	(2, 0.029629840889957113)	(3, 0.036043741549785055)	(4, 0.227954455709855)	(5, 0.023989491725723653)	(6, 0.000986513040940333)	(7, 0.00044575774442489116)	(8, 0.0006628950063461497)	(9, 0.0004937784850420926)	(10, 0.0006660267937777062)	(12, 1.8062202977365258)	(14, 0.019698942944491094)	(16, 0.005945698438810229)	(18, 0.001395211300758471)	(20, 0.0016441884015672215)	(22, 0.00013362293041308213)	(24, 6.524557149076277e-05)	(26, 0.00016598473387250046)	(28, 0.00011326631210796416)	(30, 0.0010204407381155297)	(32, 0.0007062180658160162)	(34, 0.0034293072375544908)	(36, 0.0033301339688885313)	(38, 0.0013732887887375745)	(40, 0.000762068275012109)	(42, 3.9669307466383756e-05)	(44, 8.299236693625023e-05)	(46, 0.04441814114176744)	(48, 0.1567605759574224)	(50, 0.009276354372270687)	(52, 0.008905237561631228)	(54, 0.05293242723902602)	(56, 0.032324743974811575)	(58, 0.05926542339020541)	(60, 0.037425903736245374)	(62, 0.00044575774442489116)	(64, 0.0006947348452336419)	(66, 0.0016253976769778817)	(68, 0.001579464794648385)	(70, 0.0004431479215652607)	(72, 0.0021191761620199747)	(74, 0.002460540992059645)	(76, 0.00025263085281223343)	(78, 0.0014374904310844852)	(80, 0.0008852519139866692)	(82, 0.0013821621864603183)	(84, 0.0019156099789687947)	(86, 0.0032189555150682714)	(88, 0.008350389221673781)	(90, 0.004706554545057662)	(92, 0.003241399991661094)	(94, 0.0006300112383148053)	(96, 0.0030242627297398356)	(98, 0.001492818675708652)	(100, 0.04181458185700004)
