Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR3192396_1	(1, 32.148761094746696)	(2, 32.41900934587443)	(3, 32.45340314390211)	(4, 35.837227544422994)	(5, 35.84877544446786)	(6, 35.81446402411667)	(7, 35.775621441414266)	(8, 35.80592983195696)	(9, 37.52568405016122)	(10, 37.49714157931623)	(12, 37.46620958490958)	(14, 38.80373083234568)	(16, 38.728399611187264)	(18, 38.72215016012595)	(20, 38.661430637701415)	(22, 38.48679817088634)	(24, 38.46654113198176)	(26, 38.31314948783961)	(28, 38.156144259421644)	(30, 37.90091305334566)	(32, 37.76350885890693)	(34, 37.65202883932356)	(36, 37.598801155970904)	(38, 37.66012050244959)	(40, 37.53566641275526)	(42, 37.37894683704265)	(44, 37.36464152103238)	(46, 37.28174056027668)	(48, 37.1153798084769)	(50, 36.90367120202228)	(52, 36.67139787980015)	(54, 36.394025591604844)	(56, 36.121130530601874)	(58, 35.78801507577138)	(60, 35.492375839941616)	(62, 35.171378876886905)	(64, 34.8779404438993)	(66, 34.55023855459864)	(68, 34.228315268512496)	(70, 33.91086119737385)	(72, 33.57965546395608)	(74, 33.262585395352424)	(76, 32.77877384106732)	(78, 32.74832260989836)	(80, 32.560204711904134)	(82, 32.33795159633512)	(84, 32.1074264374581)	(86, 31.869585437697424)	(88, 31.66523572604784)	(90, 31.473303999508985)	(92, 31.209105050331075)	(94, 30.90941532974622)	(96, 30.602022592246676)	(98, 30.248447413458003)	(100, 28.80972180762714)
SRR3192396_2	(1, 31.868973952115894)	(2, 31.988972324926028)	(3, 31.968782571749795)	(4, 35.31962901974181)	(5, 35.323054901481264)	(6, 35.38964843658931)	(7, 35.372988086781554)	(8, 35.38425677627043)	(9, 36.97290577571519)	(10, 36.9765533834844)	(12, 36.97400141213436)	(14, 38.28497076529784)	(16, 38.193847047958805)	(18, 38.11748054390011)	(20, 38.00958221186488)	(22, 37.89375011597296)	(24, 37.83740896181956)	(26, 37.719248347712394)	(28, 37.58471658111232)	(30, 37.403333864628266)	(32, 37.37545574400402)	(34, 37.341191583526935)	(36, 37.28091176872208)	(38, 37.1067490459291)	(40, 36.888537489360225)	(42, 36.71719571906329)	(44, 36.500689976082214)	(46, 36.37418490871798)	(48, 36.058452118986594)	(50, 35.59733208423515)	(52, 35.46745395219202)	(54, 35.4626281067075)	(56, 35.41473637858904)	(58, 35.17740273377413)	(60, 34.881922448701886)	(62, 34.56186556366666)	(64, 34.28599768862913)	(66, 33.95061828932863)	(68, 33.53138707944636)	(70, 33.310391857770284)	(72, 33.02390744429849)	(74, 32.678801332011915)	(76, 32.31664272191753)	(78, 32.02163827093473)	(80, 31.77483057956031)	(82, 31.462640653197788)	(84, 31.224297260944635)	(86, 30.990267915384223)	(88, 30.7382197210654)	(90, 30.491243981895373)	(92, 30.15306673429179)	(94, 29.759303082192595)	(96, 29.409711587732893)	(98, 28.86099423204013)	(100, 26.97860382351556)
SRR3192397_1	(1, 32.202883352192806)	(2, 32.469231544161396)	(3, 32.50441613736027)	(4, 35.88345593936738)	(5, 35.89851723503262)	(6, 35.874003725967576)	(7, 35.84133786272051)	(8, 35.87126660496363)	(9, 37.60679617602025)	(10, 37.579002227934694)	(12, 37.55366777933664)	(14, 38.91872996478325)	(16, 38.84892980059642)	(18, 38.84207040793459)	(20, 38.784950730978636)	(22, 38.61480753823638)	(24, 38.614483903238835)	(26, 38.4822225413038)	(28, 38.33869724461415)	(30, 38.1032970918788)	(32, 37.98378283725698)	(34, 37.88725362462115)	(36, 37.85987846300097)	(38, 37.93946407073656)	(40, 37.8465137630906)	(42, 37.70997453668447)	(44, 37.699798886707285)	(46, 37.627499739660564)	(48, 37.481124774895044)	(50, 37.29701343100646)	(52, 37.09659540026063)	(54, 36.839796740853025)	(56, 36.584722792345396)	(58, 36.27348350334536)	(60, 35.98219415046702)	(62, 35.66661571776403)	(64, 35.392672187722205)	(66, 35.08833078010409)	(68, 34.76685348075118)	(70, 34.44017766349943)	(72, 34.120545184719475)	(74, 33.7941513784281)	(76, 33.30040348179341)	(78, 33.25732619272435)	(80, 33.07795645913808)	(82, 32.85909683926306)	(84, 32.639542119590246)	(86, 32.41862521816401)	(88, 32.218357401540885)	(90, 32.03642728693704)	(92, 31.794352157647374)	(94, 31.52245927093369)	(96, 31.239164046838958)	(98, 30.9201273377681)	(100, 29.517069996018797)
SRR3192397_2	(1, 31.951543069007506)	(2, 32.07647274060186)	(3, 32.0625267853382)	(4, 35.410559004116045)	(5, 35.409504618603165)	(6, 35.48831618682477)	(7, 35.472758927242396)	(8, 35.48070131248265)	(9, 37.09341511840385)	(10, 37.097464266899294)	(12, 37.097318663855)	(14, 38.43789814742979)	(16, 38.35353883023179)	(18, 38.286599459090766)	(20, 38.18656155635064)	(22, 38.0837394217645)	(24, 38.035289874984315)	(26, 37.93045188287251)	(28, 37.81333039954146)	(30, 37.64769523057295)	(32, 37.63552766500006)	(34, 37.61922243228126)	(36, 37.58307846989434)	(38, 37.439078659181)	(40, 37.24414699006533)	(42, 37.093568478655065)	(44, 36.902063948965164)	(46, 36.78487264536606)	(48, 36.494970021611636)	(50, 36.04562228000431)	(52, 35.93032137800169)	(54, 35.944734917157135)	(56, 35.915539476928785)	(58, 35.69476161600383)	(60, 35.415265439404095)	(62, 35.102438604220836)	(64, 34.82712487033842)	(66, 34.489432343489945)	(68, 34.074992833097596)	(70, 33.86249857721473)	(72, 33.57521067817211)	(74, 33.23187684556656)	(76, 32.87274104188014)	(78, 32.5637869125205)	(80, 32.30854350553014)	(82, 31.990125983743575)	(84, 31.74583761250058)	(86, 31.51228399935685)	(88, 31.27702392502086)	(90, 31.046642177029256)	(92, 30.735037612777354)	(94, 30.366756608102406)	(96, 30.043758344808595)	(98, 29.52774338839469)	(100, 27.69503477780202)
SRR3192398_1	(1, 32.177329566856194)	(2, 32.30031309977914)	(3, 32.41735703510654)	(4, 35.80800008864854)	(5, 35.62011515061425)	(6, 35.557108317202044)	(7, 35.53661901623446)	(8, 35.530121453444)	(9, 37.28220566118068)	(10, 37.226784880037556)	(12, 37.146964279030115)	(14, 38.546927048388405)	(16, 38.5071795356009)	(18, 38.45393274501687)	(20, 38.39090534909885)	(22, 38.30833123369887)	(24, 38.2418307447504)	(26, 38.11436125542271)	(28, 37.979792844533)	(30, 37.846960482092165)	(32, 37.72228817703323)	(34, 37.563118720201274)	(36, 37.599468482492014)	(38, 37.59043190103798)	(40, 37.589906459212415)	(42, 37.509976719869655)	(44, 37.437060445536275)	(46, 37.32124610152195)	(48, 37.10094489658528)	(50, 36.94230682929098)	(52, 36.76226214641325)	(54, 36.53245064438734)	(56, 36.275161512375504)	(58, 36.01655366062192)	(60, 35.74034511097631)	(62, 35.4797021746435)	(64, 35.21134459039881)	(66, 34.93494290007358)	(68, 34.597463485483175)	(70, 34.28138982849329)	(72, 33.97229719312489)	(74, 33.4070290366722)	(76, 31.781557644134804)	(78, 32.94641730183336)	(80, 32.79140974562145)	(82, 32.63270254526303)	(84, 32.46466768183981)	(86, 32.245948270203186)	(88, 32.03137030574643)	(90, 31.864105474719185)	(92, 31.691522763784594)	(94, 31.539364190742226)	(96, 31.38363661235887)	(98, 31.189949266743078)	(100, 31.073384354911294)
SRR3192398_2	(1, 32.06250920332098)	(2, 32.22087795850324)	(3, 32.24964743446094)	(4, 35.54612936422099)	(5, 35.535167091009505)	(6, 35.54294979587132)	(7, 35.547608933946336)	(8, 35.52706322423756)	(9, 37.251610775672106)	(10, 37.23416498005161)	(12, 37.18912137866861)	(14, 38.63387644039699)	(16, 38.56340428309143)	(18, 38.51629985764173)	(20, 38.46572004151241)	(22, 38.37150839853301)	(24, 38.3116940541115)	(26, 38.22261430506481)	(28, 38.12013798168506)	(30, 38.003452210598795)	(32, 37.91538404522309)	(34, 37.77100406163295)	(36, 37.63932715496442)	(38, 37.50268168377198)	(40, 37.34387281243804)	(42, 37.189046021592844)	(44, 36.93117633325964)	(46, 36.74404839064364)	(48, 36.5185315075612)	(50, 35.81111589723389)	(52, 35.93661153869522)	(54, 36.162984390615016)	(56, 35.95048224311286)	(58, 35.67744207895485)	(60, 35.493612462611935)	(62, 35.43204232159242)	(64, 35.27084793055539)	(66, 34.95893992604304)	(68, 34.632959809259056)	(70, 34.3717584496557)	(72, 34.08397485249165)	(74, 33.76504173476118)	(76, 33.404094197042724)	(78, 33.07406047453319)	(80, 32.77934586597219)	(82, 32.51578471161115)	(84, 32.283177268664616)	(86, 32.05077660687185)	(88, 31.865870730942405)	(90, 31.679357482188347)	(92, 31.473337999112296)	(94, 31.303074597775428)	(96, 31.128256223306373)	(98, 30.893384236247893)	(100, 30.691945116781508)
SRR3192399_1	(1, 32.17904169812341)	(2, 32.31008203482044)	(3, 32.42774965692841)	(4, 35.817248092040714)	(5, 35.63099361546861)	(6, 35.56159369704065)	(7, 35.54002980574777)	(8, 35.53852400972416)	(9, 37.29369905637963)	(10, 37.24159401372411)	(12, 37.1644743628718)	(14, 38.56656714446024)	(16, 38.52778636981341)	(18, 38.476271169645116)	(20, 38.40979598318796)	(22, 38.330251744083405)	(24, 38.26605778540909)	(26, 38.1398891719855)	(28, 38.007585519575606)	(30, 37.86942604872034)	(32, 37.75163929268852)	(34, 37.597112104618674)	(36, 37.63556901442923)	(38, 37.62584995719695)	(40, 37.62203745677863)	(42, 37.53638632471207)	(44, 37.46333657074465)	(46, 37.338432080368435)	(48, 37.11425391888627)	(50, 36.95269045261594)	(52, 36.773914595417466)	(54, 36.54560641016296)	(56, 36.28260238700683)	(58, 36.016185337748254)	(60, 35.74390705960105)	(62, 35.485927222233116)	(64, 35.21938891654227)	(66, 34.94102275034746)	(68, 34.60551182754148)	(70, 34.287683392215364)	(72, 33.979619029530284)	(74, 33.41991329071284)	(76, 31.79180737400054)	(78, 32.95366420218697)	(80, 32.79757331137591)	(82, 32.63986142962844)	(84, 32.47493738795467)	(86, 32.25929809740168)	(88, 32.050362352555005)	(90, 31.887172556523375)	(92, 31.719401221882528)	(94, 31.56979965317431)	(96, 31.413013263229615)	(98, 31.219651215612664)	(100, 31.104490907499443)
SRR3192399_2	(1, 32.07750476242711)	(2, 32.24081037840471)	(3, 32.266733849918026)	(4, 35.561615390899775)	(5, 35.54756125995538)	(6, 35.55630409352705)	(7, 35.5609415270284)	(8, 35.5406437966514)	(9, 37.267952651550814)	(10, 37.25095829953271)	(12, 37.20523405759832)	(14, 38.65214989399307)	(16, 38.582002025732464)	(18, 38.535115261192374)	(20, 38.48231943970569)	(22, 38.389717470168925)	(24, 38.32936251071443)	(26, 38.23911631067513)	(28, 38.136728971794675)	(30, 38.01948811060628)	(32, 37.93184829231697)	(34, 37.78979459144747)	(36, 37.654002869891826)	(38, 37.51849302526803)	(40, 37.35973641362173)	(42, 37.20680376977289)	(44, 36.94884588669456)	(46, 36.76475046345557)	(48, 36.53347066874355)	(50, 35.82582900296039)	(52, 35.94638742945817)	(54, 36.172239071640334)	(56, 35.95910186694018)	(58, 35.685804361549074)	(60, 35.49806298969557)	(62, 35.43972674409838)	(64, 35.27556045746489)	(66, 34.96588506530932)	(68, 34.636682836534845)	(70, 34.3618604846304)	(72, 34.06920777281857)	(74, 33.752004422734615)	(76, 33.38847851772762)	(78, 33.06276839477135)	(80, 32.76991251463001)	(82, 32.50450269979166)	(84, 32.27747665286307)	(86, 32.04841198216687)	(88, 31.86474421182186)	(90, 31.686367601062585)	(92, 31.480048961190988)	(94, 31.30824923577326)	(96, 31.13751199510245)	(98, 30.91236874987353)	(100, 30.712273916717926)
SRR3192400_1	(1, 31.7832199288746)	(2, 31.953152959358523)	(3, 31.975051951655807)	(4, 35.64115535939338)	(5, 35.5820308664376)	(6, 35.639393551495175)	(7, 35.50651005697327)	(8, 35.508476579376584)	(9, 37.13737939460503)	(10, 37.08298058619586)	(12, 37.00313981524667)	(14, 38.214421302785574)	(16, 38.220789802966934)	(18, 38.24052743392549)	(20, 38.230796980814944)	(22, 38.14534955873428)	(24, 38.04846425913361)	(26, 37.83984483788835)	(28, 37.720051056068996)	(30, 37.52480937801637)	(32, 36.66462939544539)	(34, 36.46142641100229)	(36, 36.89109090720804)	(38, 36.789793013069925)	(40, 36.66497886116559)	(42, 36.48479667527776)	(44, 36.28269387732008)	(46, 36.11348984343589)	(48, 36.03221455725368)	(50, 35.90624083495457)	(52, 35.811344977221566)	(54, 35.67170635814023)	(56, 35.61060672514604)	(58, 35.35167631845276)	(60, 35.140356377783846)	(62, 34.859124658940516)	(64, 34.55381502235334)	(66, 34.11574781519724)	(68, 32.50360262557366)	(70, 33.11241730019421)	(72, 33.13914657873832)	(74, 32.87030271293592)	(76, 31.422053584632412)	(78, 32.15370924936463)	(80, 32.079653766702)	(82, 31.83691687762213)	(84, 31.599647645727863)	(86, 31.354496654843892)	(88, 31.08028221726625)	(90, 30.848835385339616)	(92, 30.637787195085785)	(94, 30.395006654108755)	(96, 30.09434674578369)	(98, 29.714415023551773)	(100, 28.792761681353113)
SRR3192400_2	(1, 31.18584274030064)	(2, 31.168232219365592)	(3, 31.20313257664199)	(4, 34.773046066860196)	(5, 34.88236879047718)	(6, 34.94524953883908)	(7, 34.85624868112602)	(8, 34.84636400836304)	(9, 36.35728519837295)	(10, 36.27127391362417)	(12, 35.16577697109429)	(14, 36.936979380791755)	(16, 37.13494141292177)	(18, 37.19089764356171)	(20, 37.173011280009334)	(22, 37.07571071583453)	(24, 36.94717884516842)	(26, 36.819850332505)	(28, 36.68206568460633)	(30, 36.52512692038334)	(32, 36.355181790760646)	(34, 36.16732456995182)	(36, 35.96854907691505)	(38, 35.80291258736565)	(40, 35.630278969602685)	(42, 35.46738955871675)	(44, 35.212652082990445)	(46, 34.898222770136556)	(48, 34.602638648875086)	(50, 33.60716310563993)	(52, 33.67289819638483)	(54, 34.07541444352386)	(56, 34.0894170931413)	(58, 34.22656935486285)	(60, 34.103920880944244)	(62, 33.83539661404923)	(64, 33.55105716512146)	(66, 33.22027013503912)	(68, 32.90104757976407)	(70, 32.581105642476686)	(72, 32.24417087712868)	(74, 31.874183415135274)	(76, 31.575916792667176)	(78, 31.21447944441924)	(80, 30.93071837399434)	(82, 30.620192082544897)	(84, 30.34697792221396)	(86, 30.06277743591418)	(88, 29.774430979799952)	(90, 29.514536441906564)	(92, 29.247761408783216)	(94, 28.95579411575141)	(96, 28.61802367468445)	(98, 28.210576130714628)	(100, 27.157353632104044)
