Sample	Unique Reads	Duplicate Reads
SRR3192396_1	27721021.0	77368129.0
SRR3192396_2	21487969.0	83601181.0
SRR3192397_1	25122373.0	67372259.0
SRR3192397_2	20561103.0	71933529.0
SRR3192398_1	27622910.0	41143028.0
SRR3192398_2	30959075.0	37806863.0
SRR3192399_1	29865334.0	46930592.0
SRR3192399_2	32972604.0	43823322.0
SRR3192400_1	21785891.0	74006051.0
SRR3192400_2	24085999.0	71705943.0
SRR3192401_1	21230730.0	74504614.0
SRR3192401_2	21346162.0	74389182.0
SRR3192657_1	17418339.0	76137245.0
SRR3192657_2	15951131.0	77604453.0
SRR3192658_1	18275522.0	79272530.0
SRR3192658_2	16556969.0	80991083.0
