Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR3192396_1	(1.0, 16.201520597307876)	(2.0, 7.313280990718384)	(3.0, 5.716128746687766)	(4.0, 4.890438854409107)	(5.0, 4.390720033063756)	(6.0, 3.532293668362279)	(7.0, 3.032471346233254)	(8.0, 2.130431792642966)	(9.0, 2.0435650784992765)	('>10', 15.313152140025215)	('>50', 3.488011568394627)	('>100', 7.008005068145631)	('>500', 2.6925489771156124)	('>1k', 4.823133572159454)	('>5k', 2.1097292411132855)	('>10k+', 15.314568325121543)
SRR3192396_2	(1.0, 9.552920640921776)	(2.0, 7.463230520019789)	(3.0, 6.091203467005396)	(4.0, 5.700866936174006)	(5.0, 5.236591199915175)	(6.0, 3.8853904114861644)	(7.0, 2.7769140888509547)	(8.0, 2.5025046386365726)	(9.0, 2.2597488181021053)	('>10', 15.72081163748486)	('>50', 3.6110965783656037)	('>100', 6.71231275562348)	('>500', 2.5188328516254805)	('>1k', 5.629576961094442)	('>5k', 2.5440464266711325)	('>10k+', 17.793952068022968)
SRR3192397_1	(1.0, 15.840269547458313)	(2.0, 7.865444258632494)	(3.0, 7.469234658082858)	(4.0, 5.828052368950526)	(5.0, 4.814714877950553)	(6.0, 3.867386850425842)	(7.0, 2.7987594887941643)	(8.0, 2.490357314453339)	(9.0, 1.983567992009011)	('>10', 13.727897675587675)	('>50', 3.515015787292355)	('>100', 6.822639907756259)	('>500', 2.6101260357181473)	('>1k', 4.76056272429695)	('>5k', 2.1931424418725483)	('>10k+', 13.412828070718941)
SRR3192397_2	(1.0, 9.921787247431725)	(2.0, 8.394949364999698)	(3.0, 8.15705322744582)	(4.0, 6.40247279971123)	(5.0, 5.50358799048026)	(6.0, 4.23624334759446)	(7.0, 3.553856816215944)	(8.0, 2.405475825348375)	(9.0, 1.9288122866394055)	('>10', 14.37691114360566)	('>50', 2.9894338180824933)	('>100', 6.741415325437214)	('>500', 2.5809477864031978)	('>1k', 5.398721706612144)	('>5k', 2.6508633123606398)	('>10k+', 14.757468001631763)
SRR3192398_1	(1.0, 31.109257581535076)	(2.0, 9.589094308827505)	(3.0, 4.553714444380984)	(4.0, 3.219214686058716)	(5.0, 2.288371309981941)	(6.0, 1.8958820470968376)	(7.0, 1.4248088776257157)	(8.0, 1.2566061925034733)	(9.0, 0.9088547316707708)	('>10', 11.477989093264371)	('>50', 3.5374643062720272)	('>100', 7.3712346173803525)	('>500', 2.5960858096145287)	('>1k', 6.636828220119718)	('>5k', 2.2226114901373535)	('>10k+', 9.911982283530518)
SRR3192398_2	(1.0, 35.5446252948122)	(2.0, 10.782106867702696)	(3.0, 5.2097940035232115)	(4.0, 2.985323867395624)	(5.0, 1.9070971818790146)	(6.0, 1.4304145703031277)	(7.0, 1.3283272396766903)	(8.0, 0.9877938225077842)	(9.0, 0.8516009794540588)	('>10', 8.944009652799242)	('>50', 2.9529674964990806)	('>100', 6.870240002463189)	('>500', 2.660723816585471)	('>1k', 5.738640463120808)	('>5k', 2.730008128132293)	('>10k+', 9.076326613145312)
SRR3192399_1	(1.0, 29.89647545981611)	(2.0, 9.244328769685)	(3.0, 4.75706865640512)	(4.0, 3.051882847492108)	(5.0, 2.053408876436524)	(6.0, 1.7954351300855111)	(7.0, 1.5037648329625917)	(8.0, 1.1110553883815453)	(9.0, 1.2794719101220915)	('>10', 12.995890741758986)	('>50', 4.190513563222107)	('>100', 7.11939324782249)	('>500', 2.759387465229468)	('>1k', 5.83146034765271)	('>5k', 2.1725310254427406)	('>10k+', 10.23793173748508)
SRR3192399_2	(1.0, 33.57474270196495)	(2.0, 9.910847964613916)	(3.0, 5.171175999318478)	(4.0, 2.8579202904105427)	(5.0, 2.427104293428713)	(6.0, 1.8941581193280104)	(7.0, 1.7014379328832805)	(8.0, 1.1570446441648155)	(9.0, 1.0663576536785184)	('>10', 10.410956082408648)	('>50', 2.914885910726472)	('>100', 6.749346976512411)	('>500', 2.5536793557380295)	('>1k', 5.47363138571319)	('>5k', 2.3694880199724966)	('>10k+', 9.767222669137366)
SRR3192400_1	(1.0, 16.77509990462622)	(2.0, 4.769719192333536)	(3.0, 3.0396629531850254)	(4.0, 2.116167747373926)	(5.0, 1.9408815763596932)	(6.0, 1.4381874479424261)	(7.0, 1.4265586979937015)	(8.0, 1.0758137117644184)	(9.0, 1.1226384515806884)	('>10', 14.931926182775241)	('>50', 6.2155354892519075)	('>100', 15.199349521486536)	('>500', 5.96174383556175)	('>1k', 13.354059486462416)	('>5k', 4.524301731978365)	('>10k+', 6.1083540693243625)
SRR3192400_2	(1.0, 19.108245280039853)	(2.0, 4.971185850292125)	(3.0, 3.1614861119558837)	(4.0, 2.174353202646895)	(5.0, 1.704298774187056)	(6.0, 1.4457799774671478)	(7.0, 1.2695219516721261)	(8.0, 1.0697374894865472)	(9.0, 1.0462734254126949)	('>10', 14.457615582585436)	('>50', 6.154036838498616)	('>100', 14.746347555629608)	('>500', 6.416688225905902)	('>1k', 12.561474344306545)	('>5k', 4.004280786793708)	('>10k+', 5.708674603119605)
