Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR3192396_1_val_1	0.5166732584268285	4.784199474273287
SRR3192396_2_val_2	1.6728605843491946	5.601954442841241
SRR3192397_1_val_1	0.5700191350658822	4.550064996812272
SRR3192397_2_val_2	1.7350710251436081	4.348220686780168
SRR3192398_1_val_1	1.0375043626074307	4.633626905966701
SRR3192398_2_val_2	0.4125277981018932	2.96100411839756
SRR3192399_1_val_1	1.1309685378059293	4.647703569527465
SRR3192399_2_val_2	0.4100450400451246	2.9695450903380456
SRR3192400_1_val_1	0.0	0.0
SRR3192400_2_val_2	0.0	0.0
SRR3192401_1_val_1	0.0	0.0
SRR3192401_2_val_2	0.10578596974187571	0.0
SRR3192657_1_val_1	0.0	0.0
SRR3192657_2_val_2	0.0	0.0
SRR3192658_1_val_1	0.10049740001068083	0.0
SRR3192658_2_val_2	0.1813452991520613	0.0
