Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR3192396_1_val_1	(1, 0.3673099366455485)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0002859684822016833)	(24, 0.0)	(26, 1.9176974314331836e-06)	(28, 0.0)	(30, 0.0)	(32, 6.86776906462796e-05)	(34, 0.0003320783558824629)	(36, 0.00070741227689817)	(38, 0.0008041588574387755)	(40, 2.6969766645972348e-05)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0002790011883177995)	(52, 0.00045979634419605095)	(54, 7.945638230023619e-05)	(56, 0.00010815742978369945)	(58, 1.1168131435893699e-05)	(60, 3.8406373707871646e-05)	(62, 1.947137912205323e-06)	(64, 0.0)	(66, 0.0)	(68, 0.0004161724598329512)	(70, 0.0)	(72, 0.0)	(74, 0.00047855330414669687)	(76, 0.0)	(78, 0.0004182922303600995)	(80, 0.0017550510368841525)	(82, 9.92943818518864e-07)	(84, 8.018425565007774e-05)	(86, 0.0005533304872052447)	(88, 9.287112462288363e-05)	(90, 0.0)	(92, 0.0)	(94, 3.0248706919048204e-05)	(96, 0.00015577446032756035)	(98, 0.0)	(100, 0.0)
SRR3192396_2_val_2	(1, 0.0007029763597669812)	(2, 0.010659573411725477)	(3, 0.006452250321185494)	(4, 0.009164551480395427)	(5, 0.00342677032049899)	(6, 0.012677517812309986)	(7, 0.020937011172841927)	(8, 0.026215080271855325)	(9, 0.03831508480768099)	(10, 0.01722675174813173)	(12, 0.005322124838181355)	(14, 0.0038998906498244512)	(16, 0.0044299961200302065)	(18, 0.015320383295657375)	(20, 0.029241306448043822)	(22, 0.05679761095435372)	(24, 0.05549685897391127)	(26, 0.06805455742466042)	(28, 0.04663000030796117)	(30, 0.00562206426258996)	(32, 0.00876332230602837)	(34, 0.010497382974704567)	(36, 0.0012639921615690667)	(38, 0.023753409859535096)	(40, 0.030039764269428736)	(42, 0.004770213565600778)	(44, 0.00557625520502841)	(46, 0.0034655261598859287)	(48, 0.004878094211652922)	(50, 0.005722729747937242)	(52, 0.007355791608506101)	(54, 0.006034939470426854)	(56, 0.00355058020228775)	(58, 0.00020390939303766378)	(60, 0.012927940715158674)	(62, 0.03944021237490028)	(64, 0.03701691919776477)	(66, 0.0006526168292193895)	(68, 0.008187447850144015)	(70, 0.0038439366295080005)	(72, 0.00476366379971941)	(74, 0.002527631128613903)	(76, 0.0005259012580219225)	(78, 0.0016504920787634718)	(80, 0.009329079583659531)	(82, 0.0014512896269433194)	(84, 0.00022109553743511877)	(86, 0.0025278283174601564)	(88, 0.006486397303401719)	(90, 0.008288980676516376)	(92, 0.0013607189798624465)	(94, 0.006270303999029267)	(96, 6.835191377850634e-05)	(98, 3.9306909574083915e-06)	(100, 0.0)
SRR3192397_1_val_1	(1, 0.3785804039463131)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0003088757922290211)	(24, 0.0)	(26, 1.6325349945167773e-06)	(28, 0.0)	(30, 0.0)	(32, 6.429873847782273e-05)	(34, 0.0003543577203352283)	(36, 0.0007401730868309321)	(38, 0.0008862752017115153)	(40, 2.184151002022136e-05)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0002919690612053647)	(52, 0.0005026951779949062)	(54, 7.845588762031326e-05)	(56, 0.00011201999165879375)	(58, 1.2091777071644866e-05)	(60, 3.135884924774577e-05)	(62, 5.507255881217831e-07)	(64, 0.0)	(66, 0.0)	(68, 0.00043333719891486836)	(70, 0.0)	(72, 0.0)	(74, 0.0005329639123583927)	(76, 5.560128730546827e-07)	(78, 0.0004777938194484872)	(80, 0.0019698672678776694)	(82, 0.0)	(84, 7.67749250270441e-05)	(86, 0.0005687314196723716)	(88, 9.812240355925372e-05)	(90, 0.0)	(92, 0.0)	(94, 2.00801699062349e-05)	(96, 0.00018275524522928455)	(98, 0.0)	(100, 0.0)
SRR3192397_2_val_2	(1, 0.0007502455015306911)	(2, 0.010490389273576968)	(3, 0.006337943519452751)	(4, 0.009000771393726174)	(5, 0.003425033811335764)	(6, 0.013284781938698528)	(7, 0.021639689813715675)	(8, 0.027182808026474315)	(9, 0.03957055730029919)	(10, 0.01794554620291781)	(12, 0.005349032963449615)	(14, 0.003889316172427945)	(16, 0.004403614900288839)	(18, 0.016026439956248726)	(20, 0.030382759257394625)	(22, 0.05852281328753506)	(24, 0.057127012690991706)	(26, 0.07002855677572133)	(28, 0.04816812130074842)	(30, 0.006074148032526372)	(32, 0.009066740418227762)	(34, 0.01082835606283051)	(36, 0.0012838153178802247)	(38, 0.024840793395669684)	(40, 0.031287639256250534)	(42, 0.005169085423476678)	(44, 0.006154115813951514)	(46, 0.003572360461638349)	(48, 0.004959818580858131)	(50, 0.005852115787051803)	(52, 0.007577051629668519)	(54, 0.006190079818568273)	(56, 0.0036415923943703687)	(58, 0.00023736189994890897)	(60, 0.013633212086464024)	(62, 0.04079656479072489)	(64, 0.038418954209674346)	(66, 0.0006521090796033629)	(68, 0.008325029048796513)	(70, 0.003924702370991622)	(72, 0.0048236470536495895)	(74, 0.002522292924762801)	(76, 0.0005574258060463283)	(78, 0.001689768206612534)	(80, 0.009741941585032584)	(82, 0.001559896152391941)	(84, 0.0002138732277422146)	(86, 0.002531258850325774)	(88, 0.0066319472013425225)	(90, 0.008423314412214283)	(92, 0.001455551103775446)	(94, 0.0065671677494805805)	(96, 6.612377047357244e-05)	(98, 1.2524799572834197e-06)	(100, 0.0)
SRR3192398_1_val_1	(1, 0.14626001957524787)	(2, 0.000455189411675347)	(3, 0.05489614350310407)	(4, 0.0)	(5, 0.00012919567460092357)	(6, 0.0021692855130666703)	(7, 0.01753155258828812)	(8, 0.009264531689115067)	(9, 0.012605591925306392)	(10, 0.0011777838242688847)	(12, 0.006750473997898257)	(14, 0.01104923472895108)	(16, 0.016225324227061338)	(18, 0.017569109470439548)	(20, 0.021473194253267755)	(22, 0.016646594387614986)	(24, 0.025646762984125264)	(26, 0.03345357589690306)	(28, 0.01725217384590802)	(30, 0.014822413911051689)	(32, 0.010826669278748282)	(34, 0.004126562543142625)	(36, 0.004048226595382433)	(38, 0.01049043921766725)	(40, 0.014932567007930437)	(42, 0.012042178854050942)	(44, 0.0060497131105718025)	(46, 0.0068237400978866354)	(48, 0.003958470106873204)	(50, 0.0021421814437298614)	(52, 0.0012141704898009603)	(54, 0.0004353422398642858)	(56, 9.040247557526217e-05)	(58, 2.454912332127053e-05)	(60, 0.00048704646534670164)	(62, 0.0006985550373665399)	(64, 9.554421538181117e-05)	(66, 0.00011345310564833463)	(68, 0.0016220004868011566)	(70, 0.0018711674853669825)	(72, 0.0005059812218727891)	(74, 0.0016232412808784612)	(76, 0.009025576587125939)	(78, 0.010696224431085389)	(80, 0.00012283990141072942)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR3192398_2_val_2	(1, 0.03634154144501096)	(2, 0.045733766533440884)	(3, 0.05405036251705383)	(4, 0.04245880640983608)	(5, 0.03644820299032102)	(6, 0.0021767968894969565)	(7, 4.807280915383203e-05)	(8, 0.0)	(9, 0.0)	(10, 0.004090695603933894)	(12, 0.0020731398947590064)	(14, 0.00024336859634127467)	(16, 0.003072152959987078)	(18, 0.004020839803132232)	(20, 0.0020999067250733745)	(22, 0.013976879732213635)	(24, 0.005593650617149934)	(26, 0.0021429224703459543)	(28, 0.0004367221113672158)	(30, 6.569118875703912e-05)	(32, 6.047064164332052e-06)	(34, 0.0009020448600227673)	(36, 4.545716268512429e-06)	(38, 6.826696104593904e-06)	(40, 0.0019707920417275683)	(42, 0.0)	(44, 0.0011336501676180572)	(46, 6.175123483029457e-05)	(48, 0.0005068969281588115)	(50, 3.13396224821432e-05)	(52, 0.0)	(54, 0.0018838280691791925)	(56, 0.02254622580329712)	(58, 0.02728989892046923)	(60, 0.033538549847115705)	(62, 0.02241887763887605)	(64, 0.00040473172242141666)	(66, 7.720979907547287e-07)	(68, 0.0008893594880914842)	(70, 0.0032899316950687108)	(72, 0.00188295607151967)	(74, 0.0009778408505438639)	(76, 0.0025840503722128396)	(78, 0.003944460001236202)	(80, 0.0004406638586917402)	(82, 0.00024538516816068615)	(84, 5.686055037680105e-05)	(86, 0.0007072615030665898)	(88, 1.4376976020505913e-05)	(90, 0.0)	(92, 0.0031318762838765768)	(94, 6.559048746407548e-05)	(96, 1.750601623424584e-05)	(98, 0.0)	(100, 0.0)
SRR3192399_1_val_1	(1, 0.14566449661602027)	(2, 0.00047757087060914106)	(3, 0.054765944063375024)	(4, 0.0)	(5, 0.0001372175459214997)	(6, 0.0021578131731184854)	(7, 0.017468331703830133)	(8, 0.009242005298830422)	(9, 0.0124101162855474)	(10, 0.00114146164425875)	(12, 0.006913342828339088)	(14, 0.011163723576760444)	(16, 0.01615938393734367)	(18, 0.0174225925218563)	(20, 0.02131590515218762)	(22, 0.01653207986673773)	(24, 0.025361620577703442)	(26, 0.0334305029713125)	(28, 0.017075382703905215)	(30, 0.014941190115939121)	(32, 0.010701714490705963)	(34, 0.004066034899353953)	(36, 0.003956289202543521)	(38, 0.010127405366552635)	(40, 0.014517976077512535)	(42, 0.0117440857918699)	(44, 0.005802895096439234)	(46, 0.006529776650755386)	(48, 0.0037968358781893695)	(50, 0.002075912583608097)	(52, 0.0012472475374626498)	(54, 0.0004973529962411281)	(56, 0.00011112754929942209)	(58, 2.1294601594559e-05)	(60, 0.0005055850432013133)	(62, 0.0006992083370323061)	(64, 8.693445034810624e-05)	(66, 8.708201238790005e-05)	(68, 0.001574391253729019)	(70, 0.001895558933606956)	(72, 0.000488542242416537)	(74, 0.0016214855528249173)	(76, 0.0091741871235021)	(78, 0.010770618340464803)	(80, 0.0001121191643963295)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR3192399_2_val_2	(1, 0.036460854383435354)	(2, 0.04583469614795506)	(3, 0.05430182589334642)	(4, 0.042728467583908566)	(5, 0.036655918541853176)	(6, 0.0022089334353245344)	(7, 4.708445203188715e-05)	(8, 0.0)	(9, 0.0)	(10, 0.004051953414858403)	(12, 0.0020898770351867628)	(14, 0.00023676753021748968)	(16, 0.003039637696172829)	(18, 0.004026393283755378)	(20, 0.0021118866514170825)	(22, 0.013820657869240697)	(24, 0.005478275419214798)	(26, 0.0020728360163840684)	(28, 0.0004079698779898535)	(30, 6.355916703250376e-05)	(32, 2.7075409319946135e-06)	(34, 0.0008789260762112668)	(36, 3.39218150873962e-06)	(38, 8.15085011974312e-06)	(40, 0.0019279804828801555)	(42, 0.0)	(44, 0.0011337502793726353)	(46, 7.509118647030484e-05)	(48, 0.0005037914372900379)	(50, 2.9431386301113334e-05)	(52, 0.0)	(54, 0.0019626078276702734)	(56, 0.022566354550274004)	(58, 0.02721345923283242)	(60, 0.03345896897433047)	(62, 0.022374202350275728)	(64, 0.00043352928765090715)	(66, 2.074250306477397e-06)	(68, 0.0009010331193110727)	(70, 0.0032015436004868736)	(72, 0.0018849871346500317)	(74, 0.000916085163902544)	(76, 0.0025358033072798987)	(78, 0.0038636762246887185)	(80, 0.0004347089826670011)	(82, 0.00026627135092072515)	(84, 6.223340543945565e-05)	(86, 0.0006919771128107671)	(88, 1.5034365122243135e-05)	(90, 0.0)	(92, 0.0031048649806230877)	(94, 7.210972716438542e-05)	(96, 1.6469478227690403e-05)	(98, 0.0)	(100, 0.0)
SRR3192400_1_val_1	(1, 0.015852435150735453)	(2, 0.0030897921515887217)	(3, 6.636785051145225e-05)	(4, 0.07618397163947942)	(5, 0.0013326242999521763)	(6, 0.0002665248599904352)	(7, 3.1603738338786786e-06)	(8, 0.00021490542070375015)	(9, 0.00016644635525094373)	(10, 0.000209638130980619)	(12, 0.0005082934582821541)	(14, 0.00021121831789755834)	(16, 0.0006536706546405734)	(18, 0.00022807364501157795)	(20, 5.741472421461411e-05)	(22, 0.0002807887320714551)	(24, 1.106559982129794e-05)	(26, 5.74603597451845e-05)	(28, 0.0005591567506854721)	(30, 0.00128719776492205)	(32, 0.2915007727506372)	(34, 0.0014612170829682077)	(36, 0.0020733342185004773)	(38, 0.004592762814606844)	(40, 0.005786398087713717)	(42, 0.00726259176697527)	(44, 0.0044912713830933)	(46, 0.0031275287148117433)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0009781754448777349)	(60, 0.0019272776967821604)	(62, 0.0008325332224704233)	(64, 0.0013020886645043006)	(66, 0.08198195645530577)	(68, 2.2329548269708526)	(70, 0.00020130296096750207)	(72, 9.038094217059583e-05)	(74, 0.00045413743528279)	(76, 2.681265958238929e-05)	(78, 0.0036382209300342017)	(80, 0.005694446488178264)	(82, 0.00011090629705225057)	(84, 0.0)	(86, 0.0)	(88, 5.7518301349872445e-05)	(90, 7.601949378217707e-05)	(92, 0.00047132026690879087)	(94, 0.00016903794632569627)	(96, 2.7225240972066338e-05)	(98, 0.0)	(100, 0.0)
SRR3192400_2_val_2	(1, 0.03001723067417969)	(2, 0.022239550669004262)	(3, 0.02919869385120511)	(4, 0.21675107902273527)	(5, 0.016690987674657928)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 1.803205017274656)	(14, 0.012486637017654659)	(16, 0.0013078680382534599)	(18, 1.0534579446262264e-06)	(20, 1.053675433016217e-06)	(22, 0.0)	(24, 3.8530034021650574e-05)	(26, 0.0)	(28, 0.0)	(30, 0.0005856522915988518)	(32, 8.496680285942393e-06)	(34, 0.0003204296439896248)	(36, 0.00042586889475579917)	(38, 0.0009152996871023934)	(40, 0.0005806193795097401)	(42, 2.157114781754694e-06)	(44, 0.0)	(46, 0.0420696421378188)	(48, 0.15189042863981025)	(50, 0.0015949879415830578)	(52, 0.0016843283932860883)	(54, 0.046418077413757884)	(56, 0.029613705552026203)	(58, 0.05677549860176967)	(60, 0.03574092566960326)	(62, 0.0)	(64, 0.0)	(66, 4.254646468207188e-05)	(68, 0.0002536961114754168)	(70, 0.0)	(72, 0.00037802424510359055)	(74, 0.0007946509684285576)	(76, 0.0001732148590354732)	(78, 0.0003176631304986328)	(80, 1.1239792737512038e-05)	(82, 1.4313587697356865e-05)	(84, 8.308933717967924e-05)	(86, 0.00022122989205401283)	(88, 0.0037198001969835906)	(90, 0.0007106546807106887)	(92, 0.0007985476139246444)	(94, 0.00018587475962304992)	(96, 6.779394667172229e-07)	(98, 0.0)	(100, 0.0)
SRR3192401_1_val_1	(1, 0.014979529359063782)	(2, 0.0028056429586021604)	(3, 6.090093248462774e-05)	(4, 0.06264185914082623)	(5, 0.0011161670901924014)	(6, 0.0002478037942477956)	(7, 6.300096463927007e-06)	(8, 0.00017115262060335038)	(9, 0.00016485252413942338)	(10, 0.00023100353701065694)	(12, 0.0004614820659826533)	(14, 0.00019477798234307666)	(16, 0.0005649086495987883)	(18, 0.00021315326369619706)	(20, 3.832680922661124e-05)	(22, 0.000228426653034024)	(24, 5.778178834750499e-06)	(26, 5.360992917276905e-05)	(28, 0.00046026730641893525)	(30, 0.001222217839229339)	(32, 0.2983556157387112)	(34, 0.001357158213188424)	(36, 0.0019009670088419636)	(38, 0.004138155826266327)	(40, 0.005295254156130696)	(42, 0.006618818292935913)	(44, 0.004118239184671457)	(46, 0.0028719085118352563)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0008732093171875716)	(60, 0.0017754512966603622)	(62, 0.0007994033689697076)	(64, 0.0012812671908125123)	(66, 0.08091386331822868)	(68, 2.341322554849299)	(70, 0.00019449550535957674)	(72, 8.240176139258427e-05)	(74, 0.0003963027876105127)	(76, 1.739497776376799e-05)	(78, 0.0036585320496895445)	(80, 0.005699669619904386)	(82, 0.00010752303891996589)	(84, 0.0)	(86, 0.0)	(88, 3.630932857361935e-05)	(90, 7.069214870475093e-05)	(92, 0.00043216243065896437)	(94, 0.00014267604200711027)	(96, 2.2833132226044167e-05)	(98, 0.0)	(100, 0.0)
SRR3192401_2_val_2	(1, 0.026385854007003627)	(2, 0.01975185243048849)	(3, 0.024932631755991135)	(4, 0.18263034634454806)	(5, 0.014452421288248555)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 1.7578775907427309)	(14, 0.011405799639901187)	(16, 0.0013020199358782481)	(18, 1.0500160773211679e-06)	(20, 0.0)	(22, 0.0)	(24, 3.469192500924106e-05)	(26, 0.0)	(28, 0.0)	(30, 0.0005144471220702639)	(32, 7.918051043314868e-06)	(34, 0.00031305281816043087)	(36, 0.000410642042330264)	(38, 0.0009166732443017366)	(40, 0.0006028851527004771)	(42, 2.137544307018396e-06)	(44, 0.0)	(46, 0.041979068672207624)	(48, 0.15843711820095205)	(50, 0.001609940783124382)	(52, 0.0016564962888643093)	(54, 0.04677258207421276)	(56, 0.029543567481952353)	(58, 0.05526214295046241)	(60, 0.0342780718899461)	(62, 0.0)	(64, 0.0)	(66, 3.812170651931356e-05)	(68, 0.0002777132706244)	(70, 0.0)	(72, 0.00037468093043183)	(74, 0.000780250813858313)	(76, 0.0001723846392049173)	(78, 0.0003420059956960781)	(80, 3.512074244921744e-06)	(82, 6.4952245072284255e-06)	(84, 9.356244324387475e-05)	(86, 0.0002000205768156041)	(88, 0.004012808606685086)	(90, 0.0008214446832578736)	(92, 0.0009229071205892711)	(94, 0.00022784574557252113)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR3192657_1_val_1	(1, 0.12916899302155266)	(2, 0.05880423936341161)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.00390092205515411)	(20, 0.0013925171069438214)	(22, 0.0)	(24, 0.001611840077706912)	(26, 0.011738643179737357)	(28, 0.016607380013278595)	(30, 0.000958372261828399)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 5.937282295713459e-05)	(44, 0.004247257174198307)	(46, 0.01915465564868357)	(48, 0.011297910076512142)	(50, 0.0009901170725469984)	(52, 0.00012189430709324699)	(54, 0.00012307623975563804)	(56, 2.1705877855674806e-05)	(58, 0.0039958156743753375)	(60, 0.01600209064411318)	(62, 0.03421374799777041)	(64, 0.021429567750029972)	(66, 0.009028569044486456)	(68, 0.0008651560848561682)	(70, 6.667131289209461e-05)	(72, 0.0)	(74, 1.6437464308100937e-06)	(76, 0.005159734433159393)	(78, 0.014486567760828694)	(80, 0.02333647656931657)	(82, 0.014647051606158578)	(84, 0.003070637446385)	(86, 1.3839556023056989e-05)	(88, 0.0)	(90, 1.0584179292432017e-05)	(92, 0.0)	(94, 0.0)	(96, 0.0002539511402891944)	(98, 0.0)	(100, 0.0)
SRR3192657_2_val_2	(1, 0.0016200609278182337)	(2, 2.147198048798189e-06)	(3, 2.147198048798189e-06)	(4, 3.757596585396831e-05)	(5, 0.0009608711268371896)	(6, 0.0001341998780498868)	(7, 0.0)	(8, 0.00026625255805097546)	(9, 0.003738271802957647)	(10, 0.0025938152429482125)	(12, 0.008654818535193301)	(14, 0.006460918928833751)	(16, 0.00023672858488000038)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.031115200108622527)	(26, 0.0015482641647349199)	(28, 0.005971823164055155)	(30, 0.004472068535488129)	(32, 0.0018212719218069413)	(34, 0.000281967024215798)	(36, 0.018918993201139232)	(38, 0.0)	(40, 5.418740163394849e-07)	(42, 0.0008202145121334788)	(44, 0.020440439247263947)	(46, 0.0)	(48, 0.0007121402362668969)	(50, 0.0015431608012692664)	(52, 0.0040643487511321345)	(54, 0.007413576669632608)	(56, 0.009211762359340478)	(58, 0.00790087543615528)	(60, 0.013205401596171751)	(62, 0.021958244075323673)	(64, 0.01890273505119143)	(66, 0.020036685773358785)	(68, 0.012585350765244717)	(70, 0.017804891304842876)	(72, 0.01100403230837421)	(74, 0.00311299667022395)	(76, 8.939552671558386e-05)	(78, 0.0012899488763988794)	(80, 0.0012211619182156456)	(82, 0.0006304707568502703)	(84, 1.1784825252927603e-05)	(86, 0.0)	(88, 1.9791592607233973e-05)	(90, 0.024312718426365423)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
