Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR3192396_1_val_1	(1, 32.16534376540035)	(2, 32.43642694585389)	(3, 32.47095108219284)	(4, 35.85469459488947)	(5, 35.86937483871768)	(6, 35.837046133944156)	(7, 35.79907603430617)	(8, 35.830068001757326)	(9, 37.554838333442646)	(10, 37.52700609627995)	(12, 37.4969162945936)	(14, 38.839555069980435)	(16, 38.76587806191218)	(18, 38.7623937509654)	(20, 38.70689726494879)	(22, 38.54172861092984)	(24, 38.534402932214945)	(26, 38.40343371579578)	(28, 38.267854079736)	(30, 38.03378472962903)	(32, 37.918766720521354)	(34, 37.83129011660451)	(36, 37.8040441412536)	(38, 37.8916209893499)	(40, 37.793578448406436)	(42, 37.663650889208256)	(44, 37.67801697312164)	(46, 37.62253389805145)	(48, 37.484867379962786)	(50, 37.308041282482165)	(52, 37.10836194141685)	(54, 36.86244330092758)	(56, 36.622617722104295)	(58, 36.323779973263655)	(60, 36.06622978703683)	(62, 35.783706419426615)	(64, 35.532526035340894)	(66, 35.25037463618341)	(68, 34.974454055801054)	(70, 34.70627436471922)	(72, 34.4300559295781)	(74, 34.173224915276634)	(76, 33.73914286575181)	(78, 33.77371386576944)	(80, 33.65897859195964)	(82, 33.51278486689132)	(84, 33.36697088047141)	(86, 33.226871922545186)	(88, 33.14286002936602)	(90, 33.09839858927147)	(92, 33.02610137115589)	(94, 32.975734665344724)	(96, 33.000807638211214)	(98, 33.12718898297085)	(100, 32.60941866186562)
SRR3192396_2_val_2	(1, 31.939449600540865)	(2, 32.05829640249262)	(3, 32.039776356211874)	(4, 35.39891749685557)	(5, 35.406553955868254)	(6, 35.491254236629736)	(7, 35.48441390313315)	(8, 35.50102948685101)	(9, 37.10210945200177)	(10, 37.108372214757864)	(12, 37.11003199557634)	(14, 38.43495923369217)	(16, 38.35556695120034)	(18, 38.3009191300976)	(20, 38.216095544441146)	(22, 38.12467810529146)	(24, 38.09370251641164)	(26, 38.00249567600509)	(28, 37.89677696050281)	(30, 37.747678340669275)	(32, 37.75537203549564)	(34, 37.758259491490485)	(36, 37.735177154264065)	(38, 37.606203693536415)	(40, 37.43053758034789)	(42, 37.301844072290095)	(44, 37.13106125137028)	(46, 37.05093837430596)	(48, 36.77965498162584)	(50, 36.3586306190572)	(52, 36.27181812539146)	(54, 36.31320641979787)	(56, 36.31264343963261)	(58, 36.12488938064028)	(60, 35.88354547414193)	(62, 35.61620703548111)	(64, 35.39565504696918)	(66, 35.118248342489366)	(68, 34.75776833381252)	(70, 34.6036453246864)	(72, 34.38603012654685)	(74, 34.11472897417349)	(76, 33.84356177553151)	(78, 33.62981840080791)	(80, 33.47158143448009)	(82, 33.25529428178514)	(84, 33.13636970020688)	(86, 33.033287957105344)	(88, 32.94018024881552)	(90, 32.90107000533898)	(92, 32.81527436876152)	(94, 32.74352951656611)	(96, 32.82558402811641)	(98, 32.97347050272393)	(100, 32.274534260777855)
SRR3192397_1_val_1	(1, 32.21601551246742)	(2, 32.482916175994326)	(3, 32.51813137331515)	(4, 35.896842287359355)	(5, 35.91444094831249)	(6, 35.89116922445111)	(7, 35.8591226618232)	(8, 35.88936304646211)	(9, 37.62854978794963)	(10, 37.60122087776658)	(12, 37.57645803009778)	(14, 38.94555599416526)	(16, 38.877050463089034)	(18, 38.87246079817749)	(20, 38.81994018783773)	(22, 38.657645560231785)	(24, 38.66770390812441)	(26, 38.553147291266)	(28, 38.42623670240698)	(30, 38.20683809947061)	(32, 38.10409972245799)	(34, 38.025494476083495)	(36, 38.018122964633335)	(38, 38.117510104606495)	(40, 38.04379793275791)	(42, 37.928071240443515)	(44, 37.94127869767857)	(46, 37.89142581696854)	(48, 37.76829044271345)	(50, 37.613565362535255)	(52, 37.43973379017255)	(54, 37.20837587913367)	(56, 36.98034978335219)	(58, 36.697090473377074)	(60, 36.43680994420697)	(62, 36.15266172844173)	(64, 35.91232880324401)	(66, 35.6438665848504)	(68, 35.35922322417561)	(70, 35.071808201184496)	(72, 34.79535963984954)	(74, 34.51660359320719)	(76, 34.06034953053161)	(78, 34.06601497072417)	(80, 33.940242325228056)	(82, 33.77661722557847)	(84, 33.62046710805026)	(86, 33.47451846891347)	(88, 33.36779190036883)	(90, 33.30087955376146)	(92, 33.21209852044839)	(94, 33.15219839560562)	(96, 33.15850517288308)	(98, 33.26617018839727)	(100, 32.72655452926126)
SRR3192397_2_val_2	(1, 32.01549563582736)	(2, 32.13918804626231)	(3, 32.12644572444059)	(4, 35.48195442650011)	(5, 35.48505820301306)	(6, 35.5811492662898)	(7, 35.57525203220032)	(8, 35.58816224591754)	(9, 37.21154157020621)	(10, 37.21762965479084)	(12, 37.220644027048195)	(14, 38.57300354099567)	(16, 38.49867590367478)	(18, 38.45172281647163)	(20, 38.37167868117985)	(22, 38.289368910101295)	(24, 38.2621643995806)	(26, 38.17971443610435)	(28, 38.086604148899255)	(30, 37.94823602490365)	(32, 37.96604346265667)	(34, 37.980595607028114)	(36, 37.97606976565243)	(38, 37.87139139586947)	(40, 37.713333682899425)	(42, 37.5996896278064)	(44, 37.44846229777154)	(46, 37.3717862564432)	(48, 37.12099657739281)	(50, 36.7070249615077)	(52, 36.630346682729154)	(54, 36.685344602859104)	(56, 36.697561529911894)	(58, 36.52036960212015)	(60, 36.288214034922945)	(62, 36.02173234041634)	(64, 35.79431182845549)	(66, 35.50627374919961)	(68, 35.140803899686965)	(70, 34.98425290878137)	(72, 34.75525970568525)	(74, 34.47478771756596)	(76, 34.19341795689575)	(78, 33.95353571147946)	(80, 33.773046853077325)	(82, 33.537092553247675)	(84, 33.392747738622646)	(86, 33.26849132960226)	(88, 33.16768148826006)	(90, 33.110006910318134)	(92, 33.01914839689847)	(94, 32.935734194038204)	(96, 33.00006286052755)	(98, 33.12998965137926)	(100, 32.41899381761159)
SRR3192398_1_val_1	(1, 32.58749248261447)	(2, 32.701899203457586)	(3, 32.807737351683365)	(4, 36.22527735607241)	(5, 36.130149499225546)	(6, 36.09748707502435)	(7, 36.09264923782965)	(8, 36.1112532497219)	(9, 37.92537159079656)	(10, 37.89826135071134)	(12, 37.84689505086824)	(14, 39.30667759411695)	(16, 39.28942910023805)	(18, 39.25753708787181)	(20, 39.218777929178756)	(22, 39.16581698320017)	(24, 39.12960493834846)	(26, 39.03715086380719)	(28, 38.93864131765456)	(30, 38.84320528936655)	(32, 38.757091551069465)	(34, 38.638377592581534)	(36, 38.72236249800645)	(38, 38.756991569526605)	(40, 38.797120174528644)	(42, 38.754197093867376)	(44, 38.7181638590195)	(46, 38.64081887743667)	(48, 38.45643312157184)	(50, 38.33645925598912)	(52, 38.19683824946609)	(54, 38.005194585387216)	(56, 37.785858173810425)	(58, 37.56422377332029)	(60, 37.32269574056296)	(62, 37.09753690828467)	(64, 36.86696562215744)	(66, 36.627372681486754)	(68, 36.32460006253443)	(70, 36.04613645564011)	(72, 35.77432160615986)	(74, 35.237494677403376)	(76, 33.568941609585494)	(78, 34.831884186968935)	(80, 34.70994915676357)	(82, 34.58945255514995)	(84, 34.465640467851685)	(86, 34.29249317847541)	(88, 34.13379526017961)	(90, 34.036906822708495)	(92, 33.9517318473881)	(94, 33.913752952727364)	(96, 33.912573457768005)	(98, 33.93458493776035)	(100, 34.03342733472049)
SRR3192398_2_val_2	(1, 32.48850887099565)	(2, 32.655778270537425)	(3, 32.69123923830076)	(4, 36.03178099422261)	(5, 36.028982766138284)	(6, 36.05756172067967)	(7, 36.06971969466075)	(8, 36.0600482717104)	(9, 37.83610454550043)	(10, 37.83642870646166)	(12, 37.815818901675726)	(14, 39.32161684300574)	(16, 39.27762166717223)	(18, 39.254739062594645)	(20, 39.2331266136294)	(22, 39.177348160570546)	(24, 39.1543489712552)	(26, 39.10357186027774)	(28, 39.03952332832845)	(30, 38.963148192170195)	(32, 38.91655052208637)	(34, 38.81649448601897)	(36, 38.729207054650274)	(38, 38.637601832253225)	(40, 38.52323154066981)	(42, 38.41350897515828)	(44, 38.20274586484008)	(46, 38.0640627394467)	(48, 37.88451933043284)	(50, 37.20343193819492)	(52, 37.37548297856644)	(54, 37.65459126083154)	(56, 37.48209118226927)	(58, 37.24460652101792)	(60, 37.09761567311487)	(62, 37.07327143869745)	(64, 36.94391573911751)	(66, 36.66162347729326)	(68, 36.36823890895903)	(70, 36.143798423254815)	(72, 35.89383062633965)	(74, 35.61235291562265)	(76, 35.296900054547095)	(78, 35.0078823546484)	(80, 34.754920979806144)	(82, 34.54179062185338)	(84, 34.37180200051523)	(86, 34.209810855775274)	(88, 34.10735830896863)	(90, 34.0235498910724)	(92, 33.935189174140106)	(94, 33.908093686636214)	(96, 33.93018462103478)	(98, 33.9721989543189)	(100, 34.00504012492713)
SRR3192399_1_val_1	(1, 32.583891087904696)	(2, 32.70604303516225)	(3, 32.81239050762918)	(4, 36.22804294268839)	(5, 36.132101645323125)	(6, 36.09333832087723)	(7, 36.08795896259069)	(8, 36.11036220225928)	(9, 37.92645119359557)	(10, 37.90184148906221)	(12, 37.852548567713164)	(14, 39.312895986127145)	(16, 39.29616505075293)	(18, 39.26527599553785)	(20, 39.22258514427701)	(22, 39.172210655641805)	(24, 39.1378352035541)	(26, 39.046004098573306)	(28, 38.94893368896444)	(30, 38.8479450622563)	(32, 38.76812156961404)	(34, 38.65295822133708)	(36, 38.738629036057226)	(38, 38.77235613328022)	(40, 38.80841057630296)	(42, 38.75902552869292)	(44, 38.72310719896018)	(46, 38.636384617739786)	(48, 38.44747170739032)	(50, 38.32439321185515)	(52, 38.185506544245584)	(54, 37.99499199796389)	(56, 37.76918418251449)	(58, 37.53977744336438)	(60, 37.30164011518372)	(62, 37.07870467362824)	(64, 36.84968342480183)	(66, 36.60800387433078)	(68, 36.30711275948168)	(70, 36.026267443326375)	(72, 35.75435751746423)	(74, 35.22353661198228)	(76, 33.553263255078804)	(78, 34.811230840952064)	(80, 34.68845479026909)	(82, 34.56848867645571)	(84, 34.44724818520592)	(86, 34.27773894532761)	(88, 34.12435874590615)	(90, 34.030753836048504)	(92, 33.951018628072255)	(94, 33.915347572820224)	(96, 33.91238114991799)	(98, 33.932987254396224)	(100, 34.03376407374467)
SRR3192399_2_val_2	(1, 32.50208506769473)	(2, 32.67481942473643)	(3, 32.70745558217591)	(4, 36.04605610069411)	(5, 36.0408142828183)	(6, 36.070753294865696)	(7, 36.08292683195883)	(8, 36.073979696404024)	(9, 37.852449058086975)	(10, 37.853310199082884)	(12, 37.83251251232318)	(14, 39.34057909463513)	(16, 39.29683503559995)	(18, 39.27415113896549)	(20, 39.25071413384477)	(22, 39.19661823347889)	(24, 39.17324442868117)	(26, 39.12115719012049)	(28, 39.057137812108095)	(30, 38.979934924911205)	(32, 38.9330962035192)	(34, 38.83528518144168)	(36, 38.743289855095625)	(38, 38.65269987557741)	(40, 38.537902567101696)	(42, 38.4292287243341)	(44, 38.21791845843014)	(46, 38.08155455187748)	(48, 37.89521735198788)	(50, 37.21309032717567)	(52, 37.37956204931798)	(54, 37.65739053628289)	(56, 37.48358307329572)	(58, 37.2453312791649)	(60, 37.093435015433116)	(62, 37.071898165525866)	(64, 36.9388407998504)	(66, 36.658697899707875)	(68, 36.36178086868407)	(70, 36.122571974329475)	(72, 35.867327807462374)	(74, 35.58739861087777)	(76, 35.2697373993929)	(78, 34.984670719065896)	(80, 34.73324754711459)	(82, 34.51759004026076)	(84, 34.35222634265361)	(86, 34.19308872548082)	(88, 34.091897541935424)	(90, 34.01611576746812)	(92, 33.927460476448516)	(94, 33.8973837942984)	(96, 33.922681357506974)	(98, 33.97092843419523)	(100, 34.00571008162197)
SRR3192400_1_val_1	(1, 31.808759837809195)	(2, 31.979489563597568)	(3, 32.001503400367355)	(4, 35.66633200765835)	(5, 35.612315308938285)	(6, 35.67151961382255)	(7, 35.54155789932859)	(8, 35.543431158245724)	(9, 37.17843686624958)	(10, 37.12505449142901)	(12, 37.04706369193038)	(14, 38.264937372609936)	(16, 38.27234523620365)	(18, 38.29293068407904)	(20, 38.28541247301382)	(22, 38.204179145893626)	(24, 38.115095569763085)	(26, 37.92559830689285)	(28, 37.825822303064186)	(30, 37.65788259089902)	(32, 36.834057088164585)	(34, 36.67681072911504)	(36, 37.161005559001026)	(38, 37.11155145512179)	(40, 37.04868755552482)	(42, 36.945971483657544)	(44, 36.854845112467196)	(46, 36.81706558127537)	(48, 36.841466490695666)	(50, 36.77696516146)	(52, 36.726910923455065)	(54, 36.63034953746828)	(56, 36.61343191655614)	(58, 36.39684476750213)	(60, 36.22879654604343)	(62, 35.99263151326859)	(64, 35.73657627005301)	(66, 35.35117919935151)	(68, 33.76968977925169)	(70, 34.455097461362556)	(72, 34.54490155395473)	(74, 34.33961779965475)	(76, 32.9161932992401)	(78, 33.72591253492182)	(80, 33.7193105588676)	(82, 33.55136107034605)	(84, 33.399431115265656)	(86, 33.25439715833759)	(88, 33.10244240657871)	(90, 33.01997284536266)	(92, 32.99520533099664)	(94, 33.006800372270725)	(96, 33.06045407831213)	(98, 33.171632781787956)	(100, 32.847401210902156)
SRR3192400_2_val_2	(1, 31.306190417011223)	(2, 31.290183903101507)	(3, 31.327041625989583)	(4, 34.909460061823864)	(5, 35.024054089840305)	(6, 35.09550187257943)	(7, 35.013884217534475)	(8, 35.00936452477632)	(9, 36.535346068677725)	(10, 36.4594064466085)	(12, 35.36292141860037)	(14, 37.16149412319531)	(16, 37.37433647292947)	(18, 37.44629880666707)	(20, 37.44936359165281)	(22, 37.3780480148012)	(24, 37.278344516642726)	(26, 37.18371503726186)	(28, 37.084051061442935)	(30, 36.97487891200997)	(32, 36.86377824519538)	(34, 36.74442062440971)	(36, 36.617140421465336)	(38, 36.528148160319674)	(40, 36.445592313695585)	(42, 36.391209363116985)	(44, 36.2706060658234)	(46, 36.106457025447185)	(48, 35.93705255551879)	(50, 34.99973385726956)	(52, 35.131224305537245)	(54, 35.60927672031749)	(56, 35.687135880558664)	(58, 35.892758498209105)	(60, 35.828095096046816)	(62, 35.61554804345508)	(64, 35.39031881332813)	(66, 35.120708461594326)	(68, 34.867353640819246)	(70, 34.616353898583974)	(72, 34.3503346683225)	(74, 34.05341661770178)	(76, 33.83537486361547)	(78, 33.55769928814985)	(80, 33.36813259033017)	(82, 33.159476664926274)	(84, 33.003701194908004)	(86, 32.850799944114)	(88, 32.720514081533025)	(90, 32.65188375397275)	(92, 32.62041264209715)	(94, 32.65002329794723)	(96, 32.760505880468166)	(98, 32.969433759056116)	(100, 32.646733307623755)
