Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR3192396_1_val_1	(19.0, 13.0)	(20.0, 251.0)	(21.0, 3018.0)	(22.0, 17142.0)	(23.0, 66155.0)	(24.0, 188574.0)	(25.0, 418047.0)	(26.0, 768216.0)	(27.0, 1211604.0)	(28.0, 1702840.0)	(29.0, 2201197.0)	(30.0, 2698099.0)	(31.0, 3256078.0)	(32.0, 3979194.0)	(33.0, 5036334.0)	(34.0, 6835643.0)	(35.0, 9426417.0)	(36.0, 15698531.0)	(37.0, 24806835.0)	(38.0, 20462316.0)	(39.0, 5627863.0)	(40.0, 8817.0)						
SRR3192396_2_val_2	(14.0, 1.0)	(15.0, 9.0)	(16.0, 101.0)	(17.0, 384.0)	(18.0, 1208.0)	(19.0, 5708.0)	(20.0, 49681.0)	(21.0, 128938.0)	(22.0, 254010.0)	(23.0, 431081.0)	(24.0, 662107.0)	(25.0, 935483.0)	(26.0, 1239719.0)	(27.0, 1569911.0)	(28.0, 1915152.0)	(29.0, 2295703.0)	(30.0, 2732841.0)	(31.0, 3281625.0)	(32.0, 4031665.0)	(33.0, 5128708.0)	(34.0, 7004980.0)	(35.0, 10389838.0)	(36.0, 16244092.0)	(37.0, 20288386.0)	(38.0, 19720644.0)	(39.0, 6082190.0)	(40.0, 19019.0)	
SRR3192397_1_val_1	(18.0, 1.0)	(19.0, 14.0)	(20.0, 198.0)	(21.0, 1719.0)	(22.0, 11260.0)	(23.0, 47741.0)	(24.0, 140233.0)	(25.0, 315899.0)	(26.0, 580761.0)	(27.0, 921069.0)	(28.0, 1297830.0)	(29.0, 1689380.0)	(30.0, 2099167.0)	(31.0, 2560468.0)	(32.0, 3156068.0)	(33.0, 4030206.0)	(34.0, 5570820.0)	(35.0, 7909037.0)	(36.0, 13354337.0)	(37.0, 22051199.0)	(38.0, 20092251.0)	(39.0, 6130316.0)	(40.0, 9921.0)					
SRR3192397_2_val_2	(15.0, 10.0)	(16.0, 104.0)	(17.0, 361.0)	(18.0, 1035.0)	(19.0, 4863.0)	(20.0, 38375.0)	(21.0, 98989.0)	(22.0, 192499.0)	(23.0, 326849.0)	(24.0, 501508.0)	(25.0, 710401.0)	(26.0, 947889.0)	(27.0, 1204304.0)	(28.0, 1489785.0)	(29.0, 1806748.0)	(30.0, 2177850.0)	(31.0, 2647081.0)	(32.0, 3276951.0)	(33.0, 4197301.0)	(34.0, 5742890.0)	(35.0, 8500752.0)	(36.0, 13780746.0)	(37.0, 18188378.0)	(38.0, 19425237.0)	(39.0, 6685335.0)	(40.0, 23654.0)		
SRR3192398_1_val_1	(15.0, 2.0)	(16.0, 1.0)	(17.0, 4.0)	(18.0, 10.0)	(19.0, 573.0)	(20.0, 13107.0)	(21.0, 49587.0)	(22.0, 103637.0)	(23.0, 170893.0)	(24.0, 248682.0)	(25.0, 337635.0)	(26.0, 430323.0)	(27.0, 519669.0)	(28.0, 612482.0)	(29.0, 719279.0)	(30.0, 847829.0)	(31.0, 1023864.0)	(32.0, 1278827.0)	(33.0, 1686018.0)	(34.0, 2480647.0)	(35.0, 3925923.0)	(36.0, 8278814.0)	(37.0, 16175133.0)	(38.0, 19912783.0)	(39.0, 7696034.0)	(40.0, 53940.0)		
SRR3192398_2_val_2	(14.0, 1.0)	(15.0, 0.0)	(16.0, 7.0)	(17.0, 64.0)	(18.0, 393.0)	(19.0, 5274.0)	(20.0, 43549.0)	(21.0, 91616.0)	(22.0, 147615.0)	(23.0, 212929.0)	(24.0, 284331.0)	(25.0, 359601.0)	(26.0, 440553.0)	(27.0, 525755.0)	(28.0, 620133.0)	(29.0, 732529.0)	(30.0, 878425.0)	(31.0, 1075576.0)	(32.0, 1355410.0)	(33.0, 1770899.0)	(34.0, 2511886.0)	(35.0, 4131239.0)	(36.0, 8593208.0)	(37.0, 14683945.0)	(38.0, 19021846.0)	(39.0, 8967897.0)	(40.0, 111015.0)	
SRR3192399_1_val_1	(18.0, 12.0)	(19.0, 627.0)	(20.0, 14513.0)	(21.0, 53879.0)	(22.0, 115036.0)	(23.0, 188363.0)	(24.0, 274618.0)	(25.0, 374419.0)	(26.0, 475109.0)	(27.0, 577122.0)	(28.0, 682580.0)	(29.0, 798973.0)	(30.0, 943519.0)	(31.0, 1142111.0)	(32.0, 1426710.0)	(33.0, 1880131.0)	(34.0, 2792864.0)	(35.0, 4414723.0)	(36.0, 9279108.0)	(37.0, 18156574.0)	(38.0, 22203566.0)	(39.0, 8474467.0)	(40.0, 65493.0)					
SRR3192399_2_val_2	(16.0, 7.0)	(17.0, 66.0)	(18.0, 513.0)	(19.0, 5520.0)	(20.0, 46930.0)	(21.0, 97559.0)	(22.0, 158225.0)	(23.0, 228905.0)	(24.0, 306402.0)	(25.0, 392440.0)	(26.0, 481297.0)	(27.0, 575823.0)	(28.0, 683919.0)	(29.0, 811454.0)	(30.0, 974284.0)	(31.0, 1197792.0)	(32.0, 1510459.0)	(33.0, 1976793.0)	(34.0, 2807345.0)	(35.0, 4618986.0)	(36.0, 9630426.0)	(37.0, 16618670.0)	(38.0, 21326224.0)	(39.0, 9762936.0)	(40.0, 121542.0)			
SRR3192400_1_val_1	(17.0, 2.0)	(18.0, 2.0)	(19.0, 21.0)	(20.0, 294.0)	(21.0, 2525.0)	(22.0, 16575.0)	(23.0, 68712.0)	(24.0, 197542.0)	(25.0, 436922.0)	(26.0, 789856.0)	(27.0, 1241047.0)	(28.0, 1745209.0)	(29.0, 2272536.0)	(30.0, 2831091.0)	(31.0, 3449971.0)	(32.0, 4222408.0)	(33.0, 5261235.0)	(34.0, 6907672.0)	(35.0, 9432746.0)	(36.0, 13777938.0)	(37.0, 18569786.0)	(38.0, 17109157.0)	(39.0, 6460135.0)	(40.0, 132097.0)				
SRR3192400_2_val_2	(14.0, 4.0)	(15.0, 9.0)	(16.0, 21.0)	(17.0, 123.0)	(18.0, 761.0)	(19.0, 9682.0)	(20.0, 94361.0)	(21.0, 227609.0)	(22.0, 408535.0)	(23.0, 630878.0)	(24.0, 887780.0)	(25.0, 1172148.0)	(26.0, 1471765.0)	(27.0, 1792114.0)	(28.0, 2139247.0)	(29.0, 2527507.0)	(30.0, 2983242.0)	(31.0, 3549112.0)	(32.0, 4280050.0)	(33.0, 5289404.0)	(34.0, 6871316.0)	(35.0, 9210732.0)	(36.0, 13018689.0)	(37.0, 17179590.0)	(38.0, 15346599.0)	(39.0, 5735578.0)	(40.0, 98623.0)	
