Sample	Unique Reads	Duplicate Reads
SRR3192396_1_val_1	28388578.0	76024606.0
SRR3192396_2_val_2	21998710.0	82414474.0
SRR3192397_1_val_1	25592489.0	66377406.0
SRR3192397_2_val_2	20961935.0	71007960.0
SRR3192398_1_val_1	26650137.0	39915559.0
SRR3192398_2_val_2	29747299.0	36818397.0
SRR3192399_1_val_1	28870816.0	45463701.0
SRR3192399_2_val_2	31702828.0	42631689.0
SRR3192400_1_val_1	22750067.0	72175412.0
SRR3192400_2_val_2	24613544.0	70311935.0
SRR3192401_1_val_1	23391775.0	71844862.0
SRR3192401_2_val_2	22575625.0	72661012.0
SRR3192657_1_val_1	18017243.0	75127402.0
SRR3192657_2_val_2	16624720.0	76519925.0
SRR3192658_1_val_1	18880390.0	78190778.0
SRR3192658_2_val_2	17145093.0	79926075.0
