Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR3192396_1_val_1	(1.0, 16.99155951714989)	(2.0, 7.360420610715422)	(3.0, 5.842727152414664)	(4.0, 4.838209136855174)	(5.0, 4.467075637057929)	(6.0, 3.353184579251409)	(7.0, 3.0037989768514883)	(8.0, 2.1191367705553534)	(9.0, 2.009991247241728)	('>10', 15.301719524090352)	('>50', 3.308161049361391)	('>100', 7.152862061459891)	('>500', 2.7527901216671613)	('>1k', 4.645679961959782)	('>5k', 2.0615914783011196)	('>10k+', 14.791092175067263)
SRR3192396_2_val_2	(1.0, 10.015518030130524)	(2.0, 7.780741154582493)	(3.0, 6.163138836994545)	(4.0, 5.7908469067833055)	(5.0, 5.20561253092496)	(6.0, 3.8857570204495566)	(7.0, 2.68289151638544)	(8.0, 2.395548041010267)	(9.0, 2.406304596889751)	('>10', 15.425570430210783)	('>50', 3.587680216232969)	('>100', 6.789258850720986)	('>500', 2.528380748380492)	('>1k', 5.7794274192029285)	('>5k', 2.5045986605480905)	('>10k+', 17.058725040552904)
SRR3192397_1_val_1	(1.0, 16.48078707637366)	(2.0, 7.992417726904301)	(3.0, 7.407703574688772)	(4.0, 5.972825228168888)	(5.0, 4.670295664864833)	(6.0, 3.809294671359086)	(7.0, 2.9150826095428166)	(8.0, 2.4514406279251997)	(9.0, 1.888365164681876)	('>10', 13.547068265831713)	('>50', 3.577992278104858)	('>100', 6.681158321600406)	('>500', 2.5128940101346107)	('>1k', 4.734845124596975)	('>5k', 2.2254346372801246)	('>10k+', 13.13239501794157)
SRR3192397_2_val_2	(1.0, 10.40550871332313)	(2.0, 8.586340231458088)	(3.0, 8.161793889339366)	(4.0, 6.5384827964968295)	(5.0, 5.416316731711398)	(6.0, 4.130558741350462)	(7.0, 3.487719097453927)	(8.0, 2.474225657625127)	(9.0, 1.8421376599873247)	('>10', 14.353146406638981)	('>50', 2.919780557247892)	('>100', 6.77044810777385)	('>500', 2.550457099453321)	('>1k', 5.4480935665904475)	('>5k', 2.725172035143149)	('>10k+', 14.189818708406507)
SRR3192398_1_val_1	(1.0, 30.8918418560004)	(2.0, 9.662064529386626)	(3.0, 4.657405684929765)	(4.0, 3.243567979278196)	(5.0, 2.233610418948364)	(6.0, 1.8857877930469322)	(7.0, 1.4930156731772255)	(8.0, 1.2573608544940682)	(9.0, 0.9206296359394994)	('>10', 11.755187497613788)	('>50', 3.5401319545392136)	('>100', 7.550502327450788)	('>500', 2.577961758825391)	('>1k', 6.3679048850442035)	('>5k', 2.1442969308338498)	('>10k+', 9.818730220491789)
SRR3192398_2_val_2	(1.0, 35.12015190335099)	(2.0, 10.97293235941666)	(3.0, 5.191471215083229)	(4.0, 2.9310459722098026)	(5.0, 1.8859913026714117)	(6.0, 1.5907000912834375)	(7.0, 1.1590151534808188)	(8.0, 1.125000740871539)	(9.0, 0.7841431905359454)	('>10', 9.099832770387462)	('>50', 3.0358453504881595)	('>100', 7.088239383256013)	('>500', 2.7386480715504304)	('>1k', 5.795724365162006)	('>5k', 2.478090159560355)	('>10k+', 9.003167970691743)
SRR3192399_1_val_1	(1.0, 29.760478673472818)	(2.0, 9.370851475760437)	(3.0, 4.736212896873204)	(4.0, 3.1651482684122225)	(5.0, 2.0653276469416086)	(6.0, 1.7399189503986754)	(7.0, 1.5940863700216923)	(8.0, 1.1226637180829908)	(9.0, 1.178867973835074)	('>10', 13.07938364333495)	('>50', 4.293758453241429)	('>100', 7.080309769876897)	('>500', 2.7635819121870977)	('>1k', 5.875407404559277)	('>5k', 2.0755080243190456)	('>10k+', 10.098494818682518)
SRR3192399_2_val_2	(1.0, 33.1483785635217)	(2.0, 10.209717847963171)	(3.0, 5.054054403756474)	(4.0, 2.930390245552065)	(5.0, 2.476213572263397)	(6.0, 2.044701721548816)	(7.0, 1.465456794459758)	(8.0, 1.1474414461482827)	(9.0, 1.0111719542625695)	('>10', 10.71129836682131)	('>50', 2.9309919997934646)	('>100', 6.899540322468141)	('>500', 2.642931099686256)	('>1k', 5.521946211129912)	('>5k', 2.3626313368940255)	('>10k+', 9.443134113730807)
SRR3192400_1_val_1	(1.0, 17.884679199277805)	(2.0, 4.939577940549144)	(3.0, 3.031773456369357)	(4.0, 2.235887458752001)	(5.0, 2.036973650518972)	(6.0, 1.4751164219748263)	(7.0, 1.3463971470489828)	(8.0, 1.0069163269200518)	(9.0, 1.276265467829023)	('>10', 14.587524910541273)	('>50', 5.965126094870346)	('>100', 14.959690091314434)	('>500', 5.791345663568647)	('>1k', 12.728556020458617)	('>5k', 4.505404438725092)	('>10k+', 6.228765711282044)
SRR3192400_2_val_2	(1.0, 19.83513475653334)	(2.0, 5.023715377320333)	(3.0, 3.1296686049171045)	(4.0, 2.2238120857630297)	(5.0, 1.8238433968293448)	(6.0, 1.4709077111185087)	(7.0, 1.2003147637570204)	(8.0, 1.0356123298299669)	(9.0, 1.1298097991400728)	('>10', 14.638499789163264)	('>50', 6.125678568194172)	('>100', 14.396499853576705)	('>500', 6.147209708581786)	('>1k', 12.093744385890826)	('>5k', 3.912570495782132)	('>10k+', 5.81297837360278)
