Sample	featurecounts-Assigned	featurecounts-percent_assigned	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	cutadapt-percent_trimmed	fastqc_trimmed-percent_duplicates	fastqc_trimmed-percent_gc	fastqc_trimmed-avg_sequence_length	fastqc_trimmed-median_sequence_length	fastqc_trimmed-percent_fails	fastqc_trimmed-total_sequences
SRR3192396	71.898412	67.54893664492279	104.413184	101.493325	97.21000000000001	97.833503	93.7	3.6598219999999997	3.2442124822421516	75.87120483295628	50.5	97.88738566769499	100.0	40.909090909090914	208.826368
SRR3192396 R1									2.5318940166421546	72.81130946332422	50.0	98.39615045165178	100	36.36363636363637	104.413184
SRR3192396 R2									3.956530947842149	78.93110020258835	51.0	97.37862088373821	100	45.45454545454545	104.413184
SRR3192397	62.966583	66.62669941163432	91.969895	90.22029599999999	98.10000000000001	87.095738	94.7	3.124558	2.8004566462915714	74.69040140516383	48.5	98.28529826526386	100.0	36.36363636363637	183.93979
SRR3192397 R1									2.1076770794826682	72.17297244855834	48.0	98.78507924250647	100	36.36363636363637	91.969895
SRR3192397 R2									3.493236213100474	77.20783036176931	49.0	97.78551728802125	100	36.36363636363637	91.969895
SRR3192398	36.507149	50.86601662781241	66.565696	63.846107999999994	95.92	58.67608	88.15	5.170027999999999	4.95231192076519	57.63776408049768	47.0	97.33595356683418	100.0	31.818181818181817	133.131392
SRR3192398 R1									4.91164142922038	59.96415898201789	47.0	97.43062207296683	100	36.36363636363637	66.565696
SRR3192398 R2									4.992982412310002	55.31136917897748	47.0	97.24128506070154	100	27.27272727272727	66.565696
SRR3192399	42.336127	52.318855527479904	74.33451699999999	71.600573	96.32000000000001	65.561303	88.2	6.03927	4.951528307634444	59.256045672051016	47.0	97.31293450793525	100.0	36.36363636363637	148.66903399999998
SRR3192399 R1									4.888233732607118	61.160956357116234	47.0	97.41079300347106	100	45.45454545454545	74.33451699999999
SRR3192399 R2									5.01482288266177	57.351134986985805	47.0	97.21507601239946	100	27.27272727272727	74.33451699999999
SRR3192400	63.437307999999994	70.32385754522208	94.925479	78.885263	83.10000000000001	73.36542	77.29	5.519843	6.212879711740263	75.05221457954184	45.0	94.41040477130487	99.0	27.27272727272727	189.850958
SRR3192400 R1									5.271638432802626	76.0337620780089	45.0	95.04794685839826	100	27.27272727272727	94.925479
SRR3192400 R2									7.1541209906779	74.07066708107476	45.0	93.77286268421147	98	27.27272727272727	94.925479
SRR3192401	63.800363	71.21159034142828	95.236637	78.304676	82.22000000000001	72.790825	76.43	5.513851	6.208025361041163	75.86674595516361	45.0	94.22426146252938	98.0	27.27272727272727	190.473274
SRR3192401 R1									6.154609503466139	75.43826108596639	45.0	94.11207177023691	98	27.27272727272727	95.236637
SRR3192401 R2									6.261441218616189	76.29523082436083	45.0	94.33645115482186	98	27.27272727272727	95.236637
SRR3192657	67.12240299999999	73.14677265914243	93.144645	87.67048899999999	94.11999999999999	84.960909	91.21	2.70958	2.527450525037502	81.40421166371515	50.5	98.46413498596725	100.0	27.27272727272727	186.28929
SRR3192657 R1									1.9705495596231342	80.65670564431444	50.0	98.87589935524474	100	27.27272727272727	93.144645
SRR3192657 R2									3.084351490451869	82.15171768311585	51.0	98.05237061668977	100	27.27272727272727	93.144645
SRR3192658	66.903054	71.17283553260654	97.071168	89.819541	92.53	87.10728999999999	89.74	2.7122509999999997	2.7826143459111936	81.44377828839028	52.0	98.22845904151478	100.0	27.27272727272727	194.142336
SRR3192658 R1									2.1938684948808818	80.54995141087203	52.0	98.65951465629836	100	27.27272727272727	97.071168
SRR3192658 R2									3.371360196941505	82.33760516590853	52.0	97.7974034267312	100	27.27272727272727	97.071168
